Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
accelero vehicles,Automotive,Delhi,1.66,Seed,"Letsventure, Social Alpha",2022,February,Mobility / Automotive / Ev,Delhi,Delhi,India,2,8,2022-02-08,4,2021,577.6,Delhi | Mobility / Automotive / Ev,685.17,7.0,63.91,685.17,7.0,63.91,0,0,0,0,0,0
acculi labs,Healthcare,Bangalore,4.98,Seed,Startup Basket.,2020,October,Healthtech,Bangalore,Karnataka,India,10,18,2020-10-18,3,2020,1.66,Bangalore | Healthtech,992.56,14.0,68.47,1901.74,25.0,49.8,0,0,0,0,0,0
ace turtle,Technology,Bangalore,41.5,Private Equity,"C31 Ventures, Vertex Ventures",2017,May,Enterprise / Saas,Bangalore,Karnataka,India,5,23,2017-05-23,1,2017,4.98,Bangalore | Enterprise / Saas,564.38,23.0,13.49,1485.21,45.0,8.3,0,0,0,0,0,0
ace2three,Consumer Internet,Hyderabad,611.71,Private Equity,Clairvest Group,2017,May,Consumer Internet,Hyderabad,Telangana,India,5,24,2017-05-24,1,2017,41.5,Hyderabad | Consumer Internet,145.04,9.0,9.23,283.57,17.0,7.16,0,0,0,0,0,0
acefour accesoeies,Travel,Mumbai,70.55,Seed,Sixth Sense Ventures And Volrado Ventures,2022,July,Travel / Hospitality,Mumbai,Maharashtra,India,7,27,2022-07-27,2,2022,611.71,Mumbai | Travel / Hospitality,6.64,1.0,6.64,6.64,1.0,6.64,0,0,0,0,0,0
acknoledger,Crypto,Mumbai,12.45,Seed,"Basics Capital, Krypital Capital, Magnus Capital, Momentum 6, Shima Capital",2021,October,Others,Mumbai,Maharashtra,India,10,10,2021-10-10,3,2021,70.55,Mumbai | Others,3860.33,13.0,17.64,4910.6,30.0,11.0,0,0,0,0,0,0
acko,Consumer Internet,Mumbai,99.6,Other,"Amazon, Ashish Dhawan, Catamaran Ventures, Nr Narayaunknown Murthy.",2018,May,Consumer Internet,Mumbai,Maharashtra,India,5,19,2018-05-19,1,2018,12.45,Mumbai | Consumer Internet,1011.44,18.0,25.94,2889.13,56.0,21.16,0,0,0,0,0,0
acko,Fintech,Mumbai,498.0,Unknown,"Intact Ventures, Rps Ventures",2020,January,Fintech,Mumbai,Maharashtra,India,1,20,2020-01-20,4,2019,99.6,Mumbai | Fintech,6794.38,8.0,144.0,11493.02,17.0,141.93,0,0,0,0,0,0
acko,Insurance,Bangalore,2116.5,Series D,"General Atlantic, Multiples",2021,October,Fintech,Bangalore,Karnataka,India,10,3,2021-10-03,3,2021,597.6,Bangalore | Fintech,9920.16,35.0,99.6,15672.89,59.0,99.6,0,0,0,0,0,0
acko,Healthcare,Mumbai,3801.4,Unknown,Multiples,2022,April,Healthtech,Mumbai,Maharashtra,India,4,28,2022-04-28,1,2022,2714.1,Mumbai | Healthtech,1955.98,17.0,93.38,5638.68,25.0,93.38,0,0,0,0,0,0
