Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country,Month_Num,Day,Date,Quarter,FY,Cumulative_Funding_Prior,HQ_Sector,Rolling_6m_Funding_Lagged,Rolling_6m_Rounds_Lagged,Rolling_6m_Median_Size_Lagged,Rolling_12m_Funding_Lagged,Rolling_12m_Rounds_Lagged,Rolling_12m_Median_Size_Lagged,Rolling_6m_Funding_Lagged_Missing,Rolling_6m_Rounds_Lagged_Missing,Rolling_6m_Median_Size_Lagged_Missing,Rolling_12m_Funding_Lagged_Missing,Rolling_12m_Rounds_Lagged_Missing,Rolling_12m_Median_Size_Lagged_Missing
spinny,Ecommerce,Haryana,362.71,Series B,"Nandan Nilekani, Sanjeev Aggarwal",2020,March,Ecommerce / Retail,Nan,Haryana,India,3,22,2020-03-22,4,2019,423.3,Haryana | Ecommerce / Retail,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
spinny,Retail,Gurgaon,539.5,Series C,"Areunknown Holdings, Think Investments",2021,April,Ecommerce / Retail,Gurgaon,Haryana,India,4,2,2021-04-02,1,2021,786.01,Gurgaon | Ecommerce / Retail,1053.06,11.0,60.59,1983.14,19.0,31.54,0,0,0,0,0,0
spinny,Automotive,Gurgaon,896.4,Series D,Tiger Global,2021,July,Mobility / Automotive / Ev,Gurgaon,Haryana,India,7,1,2021-07-01,2,2021,1325.51,Gurgaon | Mobility / Automotive / Ev,405.71,7.0,8.34,658.86,9.0,9.96,0,0,0,0,0,0
spinny,Automotive,Gurgaon,2058.4,Series E,"Abu Dhabi Growth Fund, Tiger Global",2021,November,Mobility / Automotive / Ev,Gurgaon,Haryana,India,11,3,2021-11-03,3,2021,2221.91,Gurgaon | Mobility / Automotive / Ev,6670.55,9.0,177.66,6958.56,13.0,24.9,0,0,0,0,0,0
spinny,Fintech,Unknown,1400.0,Unknown,Multiples,2022,April,Fintech,Nan,Nan,Nan,4,15,2022-04-15,1,2022,4280.31,Unknown | Fintech,1315.92,10.0,37.35,1315.92,10.0,37.35,0,0,0,0,0,0
spinny,Usedcar Sales,Gurgaon,1087.3,Unspecified Round,Accel Leaders Fund,2025,April,Others,Gurgaon,Haryana,India,4,18,2025-04-18,1,2025,5680.31,Gurgaon | Others,923.9,8.0,127.34,2092.07,18.0,52.4,0,0,0,0,0,0
spinny,Used Car,Gurgaon,249.0,Series F,Westbridge Capital,2025,June,Others,Gurgaon,Haryana,India,6,18,2025-06-18,1,2025,6767.61,Gurgaon | Others,1728.17,10.0,34.47,3107.66,20.0,52.4,0,0,0,0,0,0
spintly,Iot,Goa,2.06,Pre-Series A,Saltwater Venture Sparks,2020,April,Others,Panaji,Goa,India,4,12,2020-04-12,1,2020,7016.61,Goa | Others,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
spintly,Technology,Goa,4.15,Unknown,Riso Capital,2021,April,Enterprise / Saas,Panaji,Goa,India,4,22,2021-04-22,1,2021,2.06,Goa | Enterprise / Saas,18.68,3.0,8.3,18.68,3.0,8.3,0,0,0,0,0,0
splashlearn,Edtech,Gurgaon,149.4,Series C,"Accel, Owl Ventures",2021,February,Enterprise / Saas,Gurgaon,Haryana,India,2,1,2021-02-01,4,2020,6.21,Gurgaon | Enterprise / Saas,688.07,9.0,26.14,1060.31,18.0,24.9,0,0,0,0,0,0
sploot,Consumer Applications,Gurgaon,415.0,Seed,Redstart Labs,2022,May,Consumer Internet,Gurgaon,Haryana,India,5,22,2022-05-22,1,2022,149.4,Gurgaon | Consumer Internet,1054.57,14.0,14.73,4131.37,25.0,31.75,0,0,0,0,0,0
spolto,Sportstech,Pune,8.3,Seed,"Andrew Johnston, Others",2024,September,Enterprise / Saas,Pune,Maharashtra,India,9,7,2024-09-07,2,2024,415.0,Pune | Enterprise / Saas,1680.78,8.0,86.33,1805.29,16.0,31.54,0,0,0,0,0,0
spoonjoy,Online Food Delivery,Bangalore,8.3,Seed,Saif Partners,2015,May,Foodtech,Bangalore,Karnataka,India,5,12,2015-05-12,1,2015,8.3,Bangalore | Foodtech,26.98,2.0,13.49,26.98,2.0,13.49,0,0,0,0,0,0
spoonshot,Fmcg,Bangalore,8.3,Seed,"Sri Capital, Techstars Farm To Fork Accelerator",2020,January,Consumer Goods / D2C,Bangalore,Karnataka,India,1,15,2020-01-15,4,2019,8.3,Bangalore | Consumer Goods / D2C,78.85,2.0,39.42,78.85,2.0,39.42,0,0,0,0,0,0
sporjo,Sportstech,Mumbai,16.6,Unknown,Punit Balan,2021,August,Enterprise / Saas,Mumbai,Maharashtra,India,8,12,2021-08-12,2,2021,8.3,Mumbai | Enterprise / Saas,3605.61,18.0,7.18,11742.53,34.0,17.06,0,0,0,0,0,0
sporjo,Sportstech,Mumbai,16.6,Pre-Series A,Punit Balan,2021,August,Enterprise / Saas,Mumbai,Maharashtra,India,8,12,2021-08-12,2,2021,16.6,Mumbai | Enterprise / Saas,3605.61,18.0,7.18,11742.53,34.0,17.06,0,0,0,0,0,0
sportobuddy,Consumer Internet,Mumbai,1.25,Seed,Mehul Shah,2017,September,Consumer Internet,Mumbai,Maharashtra,India,9,11,2017-09-11,2,2017,33.2,Mumbai | Consumer Internet,1210.79,35.0,9.44,2803.9,61.0,9.44,0,0,0,0,0,0
sports for life,Sports Academies,Bangalore,9.13,Seed,"Ml Tondon And Sons Huf And Blume Ventures, Roots Ventures",2024,October,Media / Entertainment / Gaming,Bangalore,Karnataka,India,10,11,2024-10-11,3,2024,1.25,Bangalore | Media / Entertainment / Gaming,149.4,7.0,12.87,153.55,8.0,9.13,0,0,0,0,0,0
sportskeeda,Gaming And Media,Bangalore,67.56,Unknown,Unknown,2024,December,Healthtech,Bangalore,Karnataka,India,12,24,2024-12-24,3,2024,9.13,Bangalore | Healthtech,998.96,15.0,41.87,16331.63,26.0,225.76,0,0,0,0,0,0
sportsskill,Sports Technology,Pune,2.49,Pre-Seed,Waimea Bay Investments,2025,April,Enterprise / Saas,Pune,Maharashtra,India,4,17,2025-04-17,1,2025,67.56,Pune | Enterprise / Saas,693.16,9.0,82.19,2154.38,16.0,51.88,0,0,0,0,0,0
sportzchain,Sports,Mumbai,3.32,Pre-Seed,"Darq Capital, Jagadeesh Atukuri",2021,October,Media / Entertainment / Gaming,Mumbai,Maharashtra,India,10,24,2021-10-24,3,2021,2.49,Mumbai | Media / Entertainment / Gaming,1394.98,6.0,124.5,1394.98,6.0,124.5,0,0,0,0,0,0
sportzvillage,Sports Management & Physical Education Business,Bangalore,83.0,Private Equity,Gaja Capital Private Equity Fund,2015,October,Edtech,Bangalore,Karnataka,India,10,6,2015-10-06,3,2015,3.32,Bangalore | Edtech,3.63,2.0,1.82,3.63,2.0,1.82,0,0,0,0,0,0
spotdraft,Consumer Internet,Gurgaon,4.57,Seed,"500 Startups, Citrus Payments, Hunch Ventures, Singapore Angel Network, Spiral Ventures",2017,October,Consumer Internet,Gurgaon,Haryana,India,10,21,2017-10-21,3,2017,83.0,Gurgaon | Consumer Internet,5111.93,17.0,115.37,5752.66,37.0,41.06,0,0,0,0,0,0
spotdraft,Contract Lifecycle Management Clm Saas,Bangalore,448.2,Series B,"Arkam Ventures, Premji Invest, Prosus Ventures, Trident Partners, Vertex Growth Singapore, Xeed Vc",2025,February,Enterprise / Saas,Bangalore,Karnataka,India,2,17,2025-02-17,4,2024,4.57,Bangalore | Enterprise / Saas,3632.65,30.0,65.28,8996.93,50.0,55.61,0,0,0,0,0,0
spottabl,Human Resources,Bangalore,3.32,Seed,"Binny Bansal, Letsventure, Paradigm Shift Vc",2021,October,Others,Bangalore,Karnataka,India,10,24,2021-10-24,3,2021,452.77,Bangalore | Others,2905.17,17.0,24.9,12548.94,41.0,23.86,0,0,0,0,0,0
springboard,Data Science & Ux Design Learning,Bangalore,14.11,Seed,"500 Startups, Allen Blue, Blue Fog Capital, John Katzman, Kartik Hosaunknowngar, Kashyap Deorah, Naveen Tewari",2015,December,Edtech,Bangalore,Karnataka,India,12,11,2015-12-11,3,2015,3.32,Bangalore | Edtech,99.08,4.0,7.34,99.08,4.0,7.34,0,0,0,0,0,0
springboard,Technology,Bangalore,78.85,Private Equity,"Costanoa, Jyoti Bansal, Learn Capital",2017,December,Enterprise / Saas,Bangalore,Karnataka,India,12,5,2017-12-05,3,2017,14.11,Bangalore | Enterprise / Saas,1526.28,27.0,44.82,2036.71,49.0,23.66,0,0,0,0,0,0
springboard,Edtech,Unknown,91.3,Other,Reach Capital,2020,January,Enterprise / Saas,Nan,Nan,Nan,1,11,2020-01-11,4,2019,92.96,Unknown | Enterprise / Saas,124.5,1.0,124.5,124.5,1.0,124.5,0,0,0,0,0,0
springleap,Other,Unknown,6.64,Other,Cross Border Angels,2015,May,Others,Nan,Nan,Nan,5,6,2015-05-06,1,2015,184.26,Unknown | Others,10181.75,126.0,11.62,10181.75,126.0,11.62,0,0,0,0,0,0
sprinto,Computer Software,Bangalore,83.0,Series A,Elevation Capital,2022,February,Enterprise / Saas,Bangalore,Karnataka,India,2,10,2022-02-10,4,2021,6.64,Bangalore | Enterprise / Saas,21595.23,75.0,24.9,34728.03,126.0,24.9,0,0,0,0,0,0
spry,Music,Mumbai,12.45,Seed,"9Unicorns, Ashneer Grover",2021,December,Media / Entertainment / Gaming,Mumbai,Maharashtra,India,12,2,2021-12-02,3,2021,83.0,Mumbai | Media / Entertainment / Gaming,7540.3,7.0,70.55,8370.3,8.0,124.5,0,0,0,0,0,0
spry therapeutics,Saas,Mumbai,124.5,Unspecified Round,"Fidelity’S Eight Roads, Flourish Ventures, Funknownprime Capital, Together Fund",2024,October,Enterprise / Saas,Mumbai,Maharashtra,India,10,20,2024-10-20,3,2024,12.45,Mumbai | Enterprise / Saas,6827.38,15.0,24.49,15552.86,33.0,115.58,0,0,0,0,0,0
spyne,Software,Gurgaon,58.1,Series A,Pentathlon Ventures And Core91 Fund,2022,April,Enterprise / Saas,Gurgaon,Haryana,India,4,22,2022-04-22,1,2022,124.5,Gurgaon | Enterprise / Saas,4777.97,20.0,95.86,6172.79,41.0,41.92,0,0,0,0,0,0
spyne,Ai,Gurgaon,132.8,Series A,"Accel, Alteria Capital, Storm Ventures, Vertex Ventures",2025,February,Artificial Intelligence,Gurgaon,Haryana,India,2,5,2025-02-05,4,2024,58.1,Gurgaon | Artificial Intelligence,627.6,7.0,43.38,1250.93,9.0,43.38,0,0,0,0,0,0
sqqrl,Fintech,Gurgaon,8.3,Other,Equanimity Venture Fund,2018,June,Fintech,Gurgaon,Haryana,India,6,3,2018-06-03,1,2018,190.9,Gurgaon | Fintech,202.26,7.0,27.34,202.26,7.0,27.34,0,0,0,0,0,0
squadrun,Technology,Noida,17.43,Private Equity,"91Springboard, Abstract Ventures, Anthill Ventures, Axilor Ventures, Blume Ventures, Contrarian Capital, Emergent Ventures",2017,April,Enterprise / Saas,Noida,Uttar Pradesh,India,4,6,2017-04-06,1,2017,8.3,Noida | Enterprise / Saas,188.99,8.0,9.13,188.99,8.0,9.13,0,0,0,0,0,0
squadstack,Technology,San Francisco,41.5,Series A,"Blume Ventures, Chiratae Ventures",2020,January,Enterprise / Saas,San Francisco,California,Usa,1,21,2020-01-21,4,2019,17.43,San Francisco | Enterprise / Saas,1245.0,1.0,1245.0,1245.0,1.0,1245.0,0,0,0,0,0,0
square yards,Real Estate Advisory,Gurgaon,49.8,Private Equity,Unknown Investors,2015,May,Real Estate / Proptech,Gurgaon,Haryana,India,5,4,2015-05-04,1,2015,41.5,Gurgaon | Real Estate / Proptech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
square yards,Consumer Internet,Gurgaon,99.6,Private Equity,Adag Reliance Private Equity,2016,November,Consumer Internet,Gurgaon,Haryana,India,11,19,2016-11-19,3,2016,49.8,Gurgaon | Consumer Internet,936.87,18.0,8.3,2757.07,36.0,6.64,0,0,0,0,0,0
square yards,Consumer Internet,Gurgaon,83.0,Private Equity,"Andre Hoffman, Lohia Group",2017,January,Consumer Internet,Gurgaon,Haryana,India,1,4,2017-01-04,4,2016,149.4,Gurgaon | Consumer Internet,652.11,20.0,8.82,2939.6,39.0,8.3,0,0,0,0,0,0
square yards,Real Estate,Gurgaon,207.5,Unknown,Adm Capital,2021,July,Real Estate / Proptech,Gurgaon,Haryana,India,7,26,2021-07-26,2,2021,232.4,Gurgaon | Real Estate / Proptech,58.1,2.0,29.05,58.1,2.0,29.05,0,0,0,0,0,0
sreyas holistic remedies,Medtech,Hyderabad,8.3,Unknown,Blacksoil,2020,December,Healthtech,Hyderabad,Telangana,India,12,26,2020-12-26,3,2020,439.9,Hyderabad | Healthtech,57.28,4.0,7.26,57.28,4.0,7.26,0,0,0,0,0,0
ssa finserv,Fintech,Mumbai,24.9,Unknown,Blue Ashva Capital,2021,January,Fintech,Mumbai,Maharashtra,India,1,28,2021-01-28,4,2020,8.3,Mumbai | Fintech,602.89,12.0,39.16,1787.4,26.0,37.09,0,0,0,0,0,0
stable money,Fintech,Bangalore,166.0,Series B,The Fundamentum Partnership Fund,2025,May,Fintech,Bangalore,Karnataka,India,5,7,2025-05-07,1,2025,24.9,Bangalore | Fintech,4927.21,20.0,61.58,13764.36,33.0,61.58,0,0,0,0,0,0
stable money,Fintech,Nan,166.0,Series A,"Aditya Birla Ventures, Fundamentum, Lightspeed",2025,June,Fintech,Nan,Nan,Nan,6,23,2025-06-23,1,2025,166.0,Nan | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
stack,Fintech,Bangalore,37.35,Seed,"Harvard Maunknowngement, Y Combiunknowntor",2021,December,Fintech,Bangalore,Karnataka,India,12,19,2021-12-19,3,2021,332.0,Bangalore | Fintech,15640.11,43.0,111.01,24520.28,71.0,111.01,0,0,0,0,0,0
stack finance,Fintech,Bangalore,200.0,Unknown,"Kuunknownl Shah, Sucseed Indovation Fund",2022,March,Fintech,Bangalore,Karnataka,India,3,2,2022-03-02,4,2021,37.35,Bangalore | Fintech,15614.79,49.0,115.16,24871.78,80.0,111.01,0,0,0,0,0,0
stackbox,Logistics,Bangalore,9.96,Unknown,"Cmm Group, Ecosystem Ventures",2021,August,Logistics / Supply Chain,Bangalore,Karnataka,India,8,18,2021-08-18,2,2021,200.0,Bangalore | Logistics / Supply Chain,1842.6,9.0,155.62,6572.24,18.0,95.45,0,0,0,0,0,0
stage,Entertainment,Indore,8.3,Unknown,Venture Catalysts,2020,November,Artificial Intelligence,Indore,Madhya Pradesh,India,11,15,2020-11-15,3,2020,9.96,Indore | Artificial Intelligence,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
stage,Regional Ott,Indore,84.6,Series B,"Blume Ventures, Goodwater Capital",2024,December,Others,Indore,Madhya Pradesh,India,12,17,2024-12-17,3,2024,8.3,Indore | Others,120.0,1.0,120.0,120.0,1.0,120.0,0,0,0,0,0,0
stalk buy love,Ecommerce,Delhi,49.8,Private Equity,Kalaari Capital,2016,December,Ecommerce / Retail,Delhi,Delhi,India,12,21,2016-12-21,3,2016,92.9,Delhi | Ecommerce / Retail,131.05,8.0,3.61,2534.74,27.0,4.44,0,0,0,0,0,0
stalkbuylove,Ecommerce,Delhi,8.3,Private Equity,Trifecta Capital,2017,April,Ecommerce / Retail,Delhi,Delhi,India,4,22,2017-04-22,1,2017,49.8,Delhi | Ecommerce / Retail,193.79,8.0,7.99,2537.22,25.0,4.54,0,0,0,0,0,0
stampmyvisa,B2B Visa,Mumbai,6.6,Pre-Series A,Unicorn India Ventures,2024,November,Enterprise / Saas,Mumbai,Maharashtra,India,11,3,2024-11-03,3,2024,8.3,Mumbai | Enterprise / Saas,2400.87,17.0,24.49,15852.37,31.0,215.38,0,0,0,0,0,0
stan,Media & Entertainment,Chennai,70.55,Series A,Unknown,2025,July,Healthtech,Chennai,Tamil Nadu,India,7,25,2025-07-25,2,2025,6.6,Chennai | Healthtech,1289.83,6.0,6.85,1787.83,8.0,10.38,0,0,0,0,0,0
stance health,Healthcare,Bangalore,8.3,Pre-Seed,General Catalyst,2025,April,Healthtech,Bangalore,Karnataka,India,4,16,2025-04-16,1,2025,70.55,Bangalore | Healthtech,3307.35,19.0,38.18,9713.2,27.0,57.85,0,0,0,0,0,0
stanplus,Logistics,Hyderabad,9.13,Private Equity,Kstart Capital,2017,October,Logistics / Supply Chain,Hyderabad,Telangana,India,10,20,2017-10-20,3,2017,8.3,Hyderabad | Logistics / Supply Chain,0.62,1.0,0.62,0.62,1.0,0.62,0,0,0,0,0,0
stanplus,Hospital & Health Care,Hyderabad,166.0,Series A,"Healthquad, Healthx Capital, Kalaari Capital",2022,January,Healthtech,Hyderabad,Telangana,India,1,1,2022-01-01,4,2021,9.13,Hyderabad | Healthtech,296.73,6.0,24.9,310.43,8.0,10.38,0,0,0,0,0,0
stanza living,Technology,Delhi,16.6,Private Equity,"Accel, Matrix Partners",2017,November,Enterprise / Saas,Delhi,Delhi,India,11,19,2017-11-19,3,2017,175.13,Delhi | Enterprise / Saas,978.03,9.0,5.42,1146.69,19.0,3.27,0,0,0,0,0,0
stanza living,Accomodation,Delhi,47.31,Unknown,Alteria Capital,2020,January,Others,Delhi,Delhi,India,1,4,2020-01-04,4,2019,16.6,Delhi | Others,244.91,9.0,2.9,516.91,18.0,8.51,0,0,0,0,0,0
stanza living,Hospiitality,Delhi,473.1,Unknown,"Kotak Mahindra Bank, Rbl Bank",2022,March,Enterprise / Saas,Delhi,Delhi,India,3,26,2022-03-26,4,2021,63.91,Delhi | Enterprise / Saas,1020.49,19.0,19.09,1851.82,33.0,14.24,0,0,0,0,0,0
startup thamizha,Media,Chennai,3.3,Unspecified Round,Mudhal Partners,2024,November,Healthtech,Chennai,Tamil Nadu,India,11,28,2024-11-28,3,2024,537.01,Chennai | Healthtech,1664.15,5.0,126.16,1664.15,5.0,126.16,0,0,0,0,0,0
stashfin,Consumer Internet,Delhi,41.5,Private Equity,"Alto Partners, Snow Leopard Ventures",2017,June,Consumer Internet,Delhi,Delhi,India,6,15,2017-06-15,1,2017,3.3,Delhi | Consumer Internet,260.74,20.0,6.72,2521.02,42.0,6.72,0,0,0,0,0,0
stasis labs,Technology,Bangalore,41.5,Private Equity,"Others, Rtpunknownhc, Techstars Ventures, Wonder Ventures",2016,November,Enterprise / Saas,Bangalore,Karnataka,India,11,23,2016-11-23,3,2016,41.5,Bangalore | Enterprise / Saas,920.83,22.0,7.88,1400.01,39.0,7.88,0,0,0,0,0,0
statiq,Automotive,Gurgaon,234.06,Series A,Shell Ventures And Y Combiunknowntor,2022,June,Mobility / Automotive / Ev,Gurgaon,Haryana,India,6,5,2022-06-05,1,2022,41.5,Gurgaon | Mobility / Automotive / Ev,8401.8,9.0,457.12,8807.51,16.0,13.9,0,0,0,0,0,0
stayqrious,Edtech,Bangalore,16.6,Seed,Y Combiunknowntor,2020,January,Enterprise / Saas,Bangalore,Karnataka,India,1,21,2020-01-21,4,2019,234.06,Bangalore | Enterprise / Saas,6372.8,7.0,118.28,8922.9,24.0,29.05,0,0,0,0,0,0
stayvista,Hospitality,Mumbai,589.3,Unknown,Capri Global Capital And Dsg Consumer Partners,2022,September,Healthtech,Mumbai,Maharashtra,India,9,14,2022-09-14,2,2022,16.6,Mumbai | Healthtech,9444.23,16.0,119.1,13942.84,26.0,160.61,0,0,0,0,0,0
stayvista,Travel,Mumbai,41.5,Series B,"Capri Global Family Office, Dsg Consumer Partners, Jsw Ventures",2025,June,Travel / Hospitality,Mumbai,Maharashtra,India,6,10,2025-06-10,1,2025,589.3,Mumbai | Travel / Hospitality,182.19,5.0,32.0,182.19,5.0,32.0,0,0,0,0,0,0
stayzilla,Other,Unknown,166.0,Private Equity,"Matrix Partners, Nexus Venture Partners",2015,February,Others,Nan,Nan,Nan,2,3,2015-02-03,4,2014,630.8,Unknown | Others,3063.7,37.0,6.85,3063.7,37.0,6.85,0,0,0,0,0,0
stayzilla,Consumer Internet,Chennai,112.05,Private Equity,"Matrix Partners, Nexus Venture Partners",2016,May,Consumer Internet,Chennai,Tamil Nadu,India,5,6,2016-05-06,1,2016,166.0,Chennai | Consumer Internet,657.36,5.0,3.94,657.36,5.0,3.94,0,0,0,0,0,0
stelis biopharma,Biotechnology,Bangalore,1618.5,Series B,"Mankekar Family Office, Routeone",2021,March,Enterprise / Saas,Bangalore,Karnataka,India,3,14,2021-03-14,4,2020,278.05,Bangalore | Enterprise / Saas,4760.43,34.0,20.75,7173.36,53.0,18.16,0,0,0,0,0,0
stellapps,Computer Software,Bangalore,1.2,Unknown,Idh Farmfit,2022,February,Enterprise / Saas,Bangalore,Karnataka,India,2,22,2022-02-22,4,2021,1618.5,Bangalore | Enterprise / Saas,21595.23,75.0,24.9,34728.03,126.0,24.9,0,0,0,0,0,0
stellapps,Dairy,Bangalore,215.8,Debt + Equity,"500 Global, Bill, Blue Ashva Capital, Blume Ventures, Idh Farmfit Fund, Melinda Gates Foundation, Miledeep Capital, Omnivore",2024,October,Artificial Intelligence,Bangalore,Karnataka,India,10,13,2024-10-13,3,2024,1.2,Bangalore | Artificial Intelligence,582.74,10.0,47.31,1514.0,18.0,47.31,0,0,0,0,0,0
stellaps,Technology,Bangalore,116.2,Private Equity,"Abb Technology Ventures, Bill, Blume Ventures, Indusage Partners, Melinda Gates Foundation, Omnivore, Qualcomm Venture, Venture Highway And Beenext",2018,May,Enterprise / Saas,Bangalore,Karnataka,India,5,16,2018-05-16,1,2018,217.0,Bangalore | Enterprise / Saas,1568.06,30.0,37.97,2736.2,52.0,42.95,0,0,0,0,0,0
stellaris venture partners,Venture Capital,Bangalore,1867.5,Unknown,Unknown,2021,August,Enterprise / Saas,Bangalore,Karnataka,India,8,5,2021-08-05,2,2021,116.2,Bangalore | Enterprise / Saas,13132.8,51.0,18.68,18943.12,88.0,20.23,0,0,0,0,0,0
stepout,Sports Performance Analysis,Bangalore,6.6,Seed,"Indigoedge, Marwah Sports Group, Misfits Capital, Rainmatter (Nithin Kamath)",2025,February,Media / Entertainment / Gaming,Bangalore,Karnataka,India,2,2,2025-02-02,4,2024,1867.5,Bangalore | Media / Entertainment / Gaming,142.1,7.0,9.13,163.68,10.0,9.13,0,0,0,0,0,0
sterling accuris wellness,Hospital & Health Care,Ahmedabad,249.0,Unknown,Morgan Stanley Private Equity Asia,2021,September,Healthtech,Ahmedabad,Gujarat,India,9,8,2021-09-08,2,2021,6.6,Ahmedabad | Healthtech,135.29,2.0,67.65,135.29,2.0,67.65,0,0,0,0,0,0
sthyr energy,Cleantech,Chennai,8.3,Seed,"Antares Ventures, Speciale Invest",2025,July,Enterprise / Saas,Chennai,Tamil Nadu,India,7,27,2025-07-27,2,2025,249.0,Chennai | Enterprise / Saas,908.1,10.0,50.22,4639.05,22.0,45.24,0,0,0,0,0,0
stimuler,Edtech,Bangalore,31.12,Pre-Series A,"Lightspeed, Swc Global",2025,April,Enterprise / Saas,Bangalore,Karnataka,India,4,12,2025-04-12,1,2025,8.3,Bangalore | Enterprise / Saas,4687.37,35.0,76.06,10152.09,58.0,65.28,0,0,0,0,0,0
stitchwood,Custom Furniture,Mumbai,3.28,Seed,"Ajeet Khuraunknown, Others, Powai Lake Ventures",2015,July,Enterprise / Saas,Mumbai,Maharashtra,India,7,25,2015-07-25,2,2015,31.12,Mumbai | Enterprise / Saas,127.4,3.0,52.6,127.4,3.0,52.6,0,0,0,0,0,0
stitchwood,Ecommerce,Mumbai,1.66,Seed,Deepak Gupta,2016,July,Ecommerce / Retail,Mumbai,Maharashtra,India,7,27,2016-07-27,2,2016,3.28,Mumbai | Ecommerce / Retail,838.72,11.0,58.41,1334.87,17.0,12.45,0,0,0,0,0,0
stockal,Consumer Internet,Bangalore,2.9,Seed,"Amit Sinha, Mohan Alexander, R. Natarajan, Vikrant Varshney",2017,June,Consumer Internet,Bangalore,Karnataka,India,6,21,2017-06-21,1,2017,4.94,Bangalore | Consumer Internet,7611.51,41.0,11.73,9729.28,82.0,13.18,0,0,0,0,0,0
stockal,Fintech,Newyork,122.84,Series A,Hashed And A'Z Angels,2022,April,Fintech,New York,New York,Usa,4,7,2022-04-07,1,2022,2.9,Newyork | Fintech,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1
stockgro,Fintech,Bangalore,41.5,Pre-Series A,"Roots Ventures, Velo Partners",2021,August,Fintech,Bangalore,Karnataka,India,8,6,2021-08-06,2,2021,125.74,Bangalore | Fintech,9466.98,30.0,99.6,12960.42,47.0,74.03,0,0,0,0,0,0
stockgro,Fintech,Bangalore,265.6,Series A,"Bitkraft Ventures, General Catalyst, Itai Tsiddon",2022,January,Fintech,Bangalore,Karnataka,India,1,16,2022-01-16,4,2021,41.5,Bangalore | Fintech,16012.78,41.0,115.16,24332.7,71.0,111.01,0,0,0,0,0,0
stockroomio,Developer Portfolio Showcase,Hyderabad,0.58,Seed,Unknown Investors,2015,October,Mobility / Automotive / Ev,Hyderabad,Telangana,India,10,28,2015-10-28,3,2015,307.1,Hyderabad | Mobility / Automotive / Ev,2.08,1.0,2.08,2.08,1.0,2.08,0,0,0,0,0,0
stones2milestones,Edtech,Gurgaon,16.6,Bridge,"Emandi Sankara Rao, Menterra Venture Advisors",2020,November,Enterprise / Saas,Gurgaon,Haryana,India,11,9,2020-11-09,3,2020,0.58,Gurgaon | Enterprise / Saas,649.89,6.0,30.3,1001.64,17.0,24.9,0,0,0,0,0,0
store my goods,Storage,Noida,4.0,Growth,Jito Incubation And Innovation Foundation (Jiif) And Family Offices,2025,May,Others,Noida,Uttar Pradesh,India,5,18,2025-05-18,1,2025,16.6,Noida | Others,78.1,7.0,8.72,508.45,13.0,5.81,0,0,0,0,0,0
storeking,Ecommerce,Bangalore,132.8,Private Equity,Axiata Digital,2016,June,Ecommerce / Retail,Bangalore,Karnataka,India,6,24,2016-06-24,1,2016,4.0,Bangalore | Ecommerce / Retail,5715.99,13.0,33.2,6666.34,19.0,41.5,0,0,0,0,0,0
storia,Food,Mumbai,49.8,Series A,Sixth Sense Ventures,2021,October,Foodtech,Mumbai,Maharashtra,India,10,5,2021-10-05,3,2021,132.8,Mumbai | Foodtech,457.14,9.0,20.75,1587.48,16.0,17.64,0,0,0,0,0,0
str8bat,Sportstech,Bangalore,29.05,Series A,Exfinity Venture Partners,2024,October,Enterprise / Saas,Bangalore,Karnataka,India,10,10,2024-10-10,3,2024,49.8,Bangalore | Enterprise / Saas,6018.33,20.0,88.81,24338.39,66.0,58.52,0,0,0,0,0,0
strata,Real Estate,Bangalore,158.26,Unknown,"Propstack, Saif Partners",2020,January,Real Estate / Proptech,Bangalore,Karnataka,India,1,26,2020-01-26,4,2019,29.05,Bangalore | Real Estate / Proptech,26.85,3.0,4.15,26.85,3.0,4.15,0,0,0,0,0,0
strata,Real Estate,Bangalore,49.8,Series A,"Gruhas Proptech, Kotak Investment Advisors Limited",2021,July,Real Estate / Proptech,Bangalore,Karnataka,India,7,20,2021-07-20,2,2021,158.26,Bangalore | Real Estate / Proptech,1046.77,8.0,26.98,1052.87,10.0,19.51,0,0,0,0,0,0
stratfit,Consumer Internet,Hyderabad,1.93,Seed,Bodhtree Consulting Limited,2017,June,Consumer Internet,Hyderabad,Telangana,India,6,16,2017-06-16,1,2017,208.06,Hyderabad | Consumer Internet,755.09,9.0,12.92,886.98,17.0,9.23,0,0,0,0,0,0
strawcture eco,Building Materials,Delhi,3.11,Seed,"Brigade Reap, Social Alpha, Villgro Innovations Foundations",2022,March,Deeptech / Hardware,Delhi,Delhi,India,3,10,2022-03-10,4,2021,1.93,Delhi | Deeptech / Hardware,49.8,1.0,49.8,49.8,1.0,49.8,0,0,0,0,0,0
