Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country
plutos one,Digital For Banking Sector,Delhi,16.6,Seed,"Startupxseed, Genesia Ventures, Auxano Capital, Raghuvanshi Investment",2024,August,FinTech,Delhi,Delhi,India
agrim,B2B Agriinputs,Gurgaon,143.59,Series B,Asia Impact,2024,August,AgriTech,Gurgaon,Haryana,India
baazar style,Luxury Fashion,Kolkata,250.0,Unknown,Anchor Investors,2024,August,Consumer Goods / D2C,Kolkata,West Bengal,India
insurancepadosi,Fintech,Gurgaon,250.0,Pre-Seed,Antler,2024,August,FinTech,Gurgaon,Haryana,India
finarkein analytics,Data Analytics,Pune,39.42,Pre-Series A,Nexus Venture Partners,2024,August,Analytics / Big Data,Pune,Maharashtra,India
kreedo,Edtech,Bangalore,33.2,Series A,Heritas Capital,2024,August,Enterprise / SaaS,Bangalore,Karnataka,India
99 pancakes,Quick Restaurants,Mumbai,20.0,Series A,Family Office,2024,August,FoodTech,Mumbai,Maharashtra,India
deepmatrix,Deep,Bangalore,13.28,Unspecified Round,Yournest And Arali Ventures,2024,August,DeepTech / Hardware,Bangalore,Karnataka,India
hangyo,Food,Mangalore,207.5,Venture,Faering Capital,2024,August,FoodTech,Mangalore,Karnataka,India
livpure,Appliances,Gurgaon,208.0,Unspecified Round,"M, G Investments, Ncubate Capital Partners",2024,August,Others,Gurgaon,Haryana,India
even healthcare,Healthcare,Bangalore,169.0,Unspecified Round,Khosla Ventures,2024,August,HealthTech,Bangalore,Karnataka,India
axio,Online Lending,Bangalore,167.0,Other,Existing Investors,2024,August,FinTech,Bangalore,Karnataka,India
investorai,Equity Investment,London,80.0,Series A,"Ashish Kacholia, Lucky Investment Maunknowngers",2024,August,FinTech,London,,United Kingdom
flexiloans,Fintech,Mumbai,75.0,Other,Jm Fiunknownncial,2024,August,FinTech,Mumbai,Maharashtra,India
uppercase,Luggage,Bangalore,74.7,Unspecified Round,Accel,2024,August,Others,Bangalore,Karnataka,India
zoff,Spices,Raipur,40.0,Unspecified Round,Jm Fiunknownncial Private Equity,2024,August,Others,Raipur,Chhattisgarh,India
transbnk,Fintech,Delhi,33.2,Series A,"8I Ventures, Accion Venture Lab, Gmo Venture Partners, Ratio Ventures, Force Ventures, Family Offices, Angels",2024,August,FinTech,Delhi,Delhi,India
llumo ai,AI,Noida,8.3,Seed,"Senseai Ventures, India Quotient, Aumvc, Venture Catalyst, Iim Indore Alumni Angel Fund, Other Angel Investors",2024,August,Artificial Intelligence,Noida,Uttar Pradesh,India
dopplr,Virtual Tryon,Bangalore,8.3,Unspecified Round,"Cornerstone Ventures, U.Sunknownbased Bat Vc",2024,August,Others,Bangalore,Karnataka,India
revrag,B2B Sales,Bangalore,4.98,Pre-Seed,"Powerhouse Ventures, Viral Bajaria, Kuunknownl Shah, Deepak Anchala, Vetri Vellore, Other Angel Investors",2024,August,Enterprise / SaaS,Bangalore,Karnataka,India
nxtqube,Dronetech,Nashik,4.98,Seed,"Pontaq Vc, Aunknownnta Bizcon Llp, Rushikesh Bhandari, And Others",2024,August,Enterprise / SaaS,Nashik,Maharashtra,India
oyo,Hospitality,Gurgaon,1457.0,Series G,"Incred Wealth, Patient Capital, J, A Partners, Mankind Pharma Promoters' Family Office, Ask Fiunknownncial",2024,August,HealthTech,Gurgaon,Haryana,India
ather energy,Ev,Bangalore,600.0,Unspecified Round,Natiounknownl Investment And Infrastructure Fund (Niif),2024,August,Mobility / Automotive / EV,Bangalore,Karnataka,India
neo,Wealth And Asset Management,Mumbai,400.0,Series B,"Mufg Bank, Euclidean Capital Llc, Peak Xv Partners",2024,August,FinTech,Mumbai,Maharashtra,India
pakka,Compostable Packaging,Kanpur,244.7,Unspecified Round,Unknown,2024,August,Others,Kanpur,Uttar Pradesh,India
syfe,Fintech,Gurgaon,224.1,Unspecified Round,"Valar Ventures, Unbound, Two Uk Family Offices",2024,August,FinTech,Gurgaon,Haryana,India
vayana,Trade Finance,Pune,170.15,Unspecified Round,Smbc Asia Rising Fund,2024,August,FinTech,Pune,Maharashtra,India
fresh bus,Electric Intercity Bus,Hyderabad,87.5,Series A,"Maniv, Shell Ventures, Alteria Capital, Riverwalk Holdings",2024,August,Enterprise / SaaS,Hyderabad,Telangana,India
beco,Ecofriendly Products,Mumbai,83.0,Other,"Tanglin Venture Partners, Titan Capital Winners Fund, Manish Choksi, Rukam Capital, Synergy Capital",2024,August,Others,Mumbai,Maharashtra,India
innoviti,Payment Gateway,Bangalore,70.0,Series E,"Random Walk Solutions, Bessemer Venture Partners, Patni Family Office, Alumni Ventures",2024,August,Others,Bangalore,Karnataka,India
kazam,Emobility,Bangalore,66.4,Series A,"Vertex Ventures, Avaaunknown Capital, Alteria Capital",2024,August,Enterprise / SaaS,Bangalore,Karnataka,India
4basecare,Healthcare,Bangalore,49.8,Series A,Yali Capital,2024,August,HealthTech,Bangalore,Karnataka,India
skydo,Crossborder Payments,Bangalore,41.5,Equity,"Elevation Capital, Angel Investors",2024,August,FinTech,Bangalore,Karnataka,India
fashor,Ethnic Wear,Jaipur,41.5,Unspecified Round,Blume Ventures,2024,August,Others,Jaipur,Rajasthan,India
infinyteclub,Wealth Management,Bangalore,29.88,Unspecified Round,"Elevation Capital, Angel Investors",2024,August,FinTech,Bangalore,Karnataka,India
truva,Real Estate,Mumbai,24.9,Unspecified Round,"Stellaris Venture Partners, Angel Investors",2024,August,Real Estate / PropTech,Mumbai,Maharashtra,India
healthcred,B2B Healthcare Financing,Delhi,9.96,Seed,"Antler India, Trtl Vc, Devc, Iseedvc, Angel List India",2024,August,FinTech,Delhi,Delhi,India
eyerov,Marine Robotics,Kochi,10.0,Pre-Series A,Unicorn India Ventures,2024,August,DeepTech / Hardware,Kochi,Kerala,India
six sense mobility,Smart Mobility,Mumbai,6.0,Seed,Piper Serica Vc,2024,August,Enterprise / SaaS,Mumbai,Maharashtra,India
halden,Luxury Mens,Mumbai,5.0,Seed,Prajay Advisors,2024,August,Others,Mumbai,Maharashtra,India
miclient,AI,Gurgaon,3.9,Seed,"Ian Group, Anicut, Gsf, Rtaf, Keiretsu",2024,August,Artificial Intelligence,Gurgaon,Haryana,India
ziptrrip,Traveltech Saas,Mumbai,2.0,Pre-Seed,Angel Investors,2024,August,Enterprise / SaaS,Mumbai,Maharashtra,India
nuvoretail,Ecommerce,Delhi,2.9,Unspecified Round,Unknown,2024,August,Ecommerce / Retail,Delhi,Delhi,India
adukale,Fmcg,Bangalore,2.905,Unspecified Round,Nuventures,2024,August,Consumer Goods / D2C,Bangalore,Karnataka,India
35north ventures,Venture Capital,Mumbai,100.0,Unspecified Round,Unknown,2024,August,Enterprise / SaaS,Mumbai,Maharashtra,India
nuvoretail,Ecommerce,Delhi,2.9,Unknown,Unknown,2024,August,Ecommerce / Retail,Delhi,Delhi,India
genworks health,Healthcare,Bangalore,41.0,Unspecified Round,Evolvence India Fund,2024,August,HealthTech,Bangalore,Karnataka,India
oneiric11 gaming,Esports And Gaming,Chandigarh,8.3,Pre-Series A,"Ng Family Trust, Tac Holdings",2024,August,Media / Entertainment / Gaming,Chandigarh,Chandigarh,India
biofuelcircle,For Biomass And Biofuel,Pune,45.0,Unspecified Round,"Spectrum Impact, Angels, Promoters",2024,August,BioTech,Pune,Maharashtra,India
flexibees,Talent,Singapore,45.0,Pre-Series A,Inflection Point Ventures,2024,August,Others,,,Singapore
visit health,Healthcare,Usa,250.0,Other,"Docprime Technologies, Promoters And Employees",2024,August,HealthTech,,,USA
sharechat,Social Media,Bangalore,132.8,Debt,Singaporeunknownbased Edbi,2024,August,HealthTech,Bangalore,Karnataka,India
country delight,Dairy And Essentials,Gurgaon,70.0,Debt,Alteria Capital,2024,August,Artificial Intelligence,Gurgaon,Haryana,India
agrizy,Agritech,Bangalore,81.34,Series A,"Accion, Omnivore, Capria Ventures, Thai Wah Ventures, Ankur Capital",2024,August,AgriTech,Bangalore,Karnataka,India
scimplify,Speciality Chemicals,Bangalore,78.85,Series A,Omnivore And Bertelsmann,2024,August,Enterprise / SaaS,Bangalore,Karnataka,India
