Company_Cleaned,Sub_Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Sector,city,state,country
mensa,D2C,Bangalore,1120.5,Series B,"Alpha Wave Ventures, Falcon Edge Capital",2021,November,Ecommerce / Retail,Bangalore,Karnataka,India
genleap,Professional Training & Coaching,Haryana,66.4,Seed,"Vivek Vaidya, Kevin Donlon, Ayush Singh",2021,November,Artificial Intelligence,,Haryana,India
planys,Maritime,Chennai,13.28,Pre-Series A,"Kieretsu Forum, Lets Venture, Shell",2021,November,Enterprise / SaaS,Chennai,Tamil Nadu,India
wonderchef,Consumer Goods,Mumbai,166.0,Unknown,"Sixth Sense Ventures, Godrej Family Office, Malpani Group",2021,November,Consumer Internet,Mumbai,Maharashtra,India
gokwik,Information Technology &,Delhi,124.5,Series A,Sequoia Capital,2021,November,Enterprise / SaaS,Delhi,Delhi,India
velocity,Fintech,Bangalore,166.0,Series A,Valar Ventures,2021,November,FinTech,Bangalore,Karnataka,India
salarybox,Fintech,Gurgaon,33.2,Seed,"Yunknowncombiunknowntor, Ame Cloud Ventures, Gokul Rajaram",2021,November,FinTech,Gurgaon,Haryana,India
boingg,Furniture,Gurgaon,1.66,Seed,Inflection Point Ventures,2021,November,Enterprise / SaaS,Gurgaon,Haryana,India
better capital,Venture Capital & Private Equity,Santra,124.5,Unknown,Unknown,2021,November,Enterprise / SaaS,,,
tickertape,Fintech,Bangalore,41.5,Unknown,Smallcase,2021,November,FinTech,Bangalore,Karnataka,India
disprz,Edtech,Mumbai,107.9,Series B,"Dallas Venture Capital, Mars Growth Capital",2021,November,Enterprise / SaaS,Mumbai,Maharashtra,India
inzpira,Edtech,Thiruvananthapuram,2.49,Seed,"Raj Nair, Gopiunknownth Latpate",2021,November,Enterprise / SaaS,Thiruvananthapuram,Kerala,India
defy,Fintech,Bangalore,45.65,Unknown,"Y Combiunknowntor, Goat Vc, Jam Fund, Goodwater Capital",2021,November,FinTech,Bangalore,Karnataka,India
mindhouse,Healthcare,Gurgaon,49.8,Seed,"Binny Bansal, General Catalyst",2021,November,HealthTech,Gurgaon,Haryana,India
homversity,Housing,Ahmedabad,1.29,Unknown,Unknown,2021,November,Real Estate / PropTech,Ahmedabad,Gujarat,India
toppersnotes,Edtech,Jaipur,8.3,Seed,Inflection Point Ventures,2021,November,Enterprise / SaaS,Jaipur,Rajasthan,India
nobrokercom,Real Estate,Bangalore,17.43,Series E,"General Atlantic, Tiger Global, Moore Strategic Ventures",2021,November,Real Estate / PropTech,Bangalore,Karnataka,India
haber,Industrial Automation,Pune,166.0,Series B,Ascent Capital,2021,November,Mobility / Automotive / EV,Pune,Maharashtra,India
true balance,Fintech,Gurgaon,249.0,Unknown,"Northern Arc, Arthmate, Shine Star, E Clear, Hinduja",2021,November,FinTech,Gurgaon,Haryana,India
recordent,Fintech,Hyderabad,3.32,Unknown,"Family Office Of Kantamaneni, Iim Calcutta Innovation Park",2021,November,FinTech,Hyderabad,Telangana,India
koparo,Consumer Goods,Delhi,5.81,Seed,"Saama Capital﻿, ﻿Titan Capital﻿, Dsg Consumer Partners",2021,November,Consumer Internet,Delhi,Delhi,India
indifi,Fintech,Gurgaon,332.0,Unknown,"Omidyar Network, Flourish Ventures, Elevar Equity, Accel",2021,November,FinTech,Gurgaon,Haryana,India
settl,Real Estate,Bangalore,4.15,Seed,"Ah! Ventures, We Founder Circle",2021,November,Real Estate / PropTech,Bangalore,Karnataka,India
park,Technology,Delhi,207.5,Series B,"Sequoia Capital, Matrix Partners",2021,November,Enterprise / SaaS,Delhi,Delhi,India
simple energy,Automotive,Bangalore,174.3,Other,Unknown,2021,November,Mobility / Automotive / EV,Bangalore,Karnataka,India
dream sports,Sports,Mumbai,6972.0,Unknown,"Falcon Edge, Dst Global, D1 Capital, Redbird Capital, Tiger Global",2021,November,Media / Entertainment / Gaming,Mumbai,Maharashtra,India
spinny,Automotive,Gurgaon,2058.4,Series E,"Abu Dhabi Growth Fund, Tiger Global",2021,November,Mobility / Automotive / EV,Gurgaon,Haryana,India
rentomojo,Furniture Rental,Bangalore,83.0,Unknown,"Accel, Bain Capital",2021,November,Enterprise / SaaS,Bangalore,Karnataka,India
slice,Fintech,Bangalore,1826.0,Series B,"Tiger Global, Insight Partners",2021,November,FinTech,Bangalore,Karnataka,India
21k school,Edtech,Bangalore,41.5,Pre-Series A,Ronnie Screwvala,2021,November,Enterprise / SaaS,Bangalore,Karnataka,India
adda247,Edtech,Gurgaon,166.0,Series B,Westbridge Capital,2021,November,Enterprise / SaaS,Gurgaon,Haryana,India
loop health,Hospital & Health Care,Pune,99.6,Unknown,"Elevation, General Catalyst",2021,October,HealthTech,Pune,Maharashtra,India
rupifi,Fintech,Bangalore,8.3,Debt,Alteria Capital,2021,October,FinTech,Bangalore,Karnataka,India
renee cosmetics,Cosmetics,Ahmedabad,12.45,Pre-Series A,"Equanimity Ventures, 9Unicorns",2021,October,Consumer Goods / D2C,Ahmedabad,Gujarat,India
svish,Consumer Goods,Gurgaon,3.32,Seed,Nueva,2021,October,Consumer Internet,Gurgaon,Haryana,India
progcap,Fintech,Delhi,249.0,Series C,Tiger Global,2021,October,FinTech,Delhi,Delhi,India
smartstaff,Recruitment,Bangalore,35.69,Unknown,"Blume Ventures, Nexus Venture Partners",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
dmoksha homes,Textiles,Mumbai,4.73,Seed,"Apoorva Sharma, The Chenunknowni Angels, Karthik Bhat",2021,October,Others,Mumbai,Maharashtra,India
ans commerce,Ecommerce,Gurgaon,18.26,Pre-Series A,"Gokul Rajaram, Venture Catalysts",2021,October,Ecommerce / Retail,Gurgaon,Haryana,India
mobileware,Information Technology &,Mumbai,39.01,Unknown,Kvanto Payment Services,2021,October,Enterprise / SaaS,Mumbai,Maharashtra,India
gramcover,Insurance,Noida,58.1,Series A,"Siaunknown Capital, Inflexor Ventures, Stride Ventures",2021,October,FinTech,Noida,Uttar Pradesh,India
byjus,Edtech,Bangalore,2490.0,Unknown,"Oxshott Capital Partners, Xn Exponent, Edelweiss",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
hyperface,Information Technology &,Bangalore,10.79,Unknown,"Kuunknownl Shah, Better Capital",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
licious,Food,Bangalore,431.6,Series G,Unknown,2021,October,FoodTech,Bangalore,Karnataka,India
chalo,Mobility,Mumbai,332.0,Series C,"Lightrock India, Filter Capital",2021,October,Enterprise / SaaS,Mumbai,Maharashtra,India
kaar,Information Technology &,Chennai,33.2,Unknown,Blacksoil,2021,October,Enterprise / SaaS,Chennai,Tamil Nadu,India
sunstone eduversity,Edtech,Gurgaon,232.4,Series B,Westbridge Capital,2021,October,Enterprise / SaaS,Gurgaon,Haryana,India
ozonetel,Telecommunications,Hyderabad,41.5,Series A,Stakeboat Capital,2021,October,Ecommerce / Retail,Hyderabad,Telangana,India
coinswitch kuber,Crypto,Bangalore,2158.0,Series C,"Coinbase Ventures, Andreessen Horowitz",2021,October,Others,Bangalore,Karnataka,India
pazcare,Insurance,Bangalore,29.05,Seed,"Beenext, 3One4 Capital",2021,October,FinTech,Bangalore,Karnataka,India
kwh bikes,Automotive,Bangalore,16.6,Seed,"Let’S Venture, Better Capital",2021,October,Mobility / Automotive / EV,Bangalore,Karnataka,India
ibsfintech,Information Technology &,Bangalore,8.3,Pre-Series A,Unknown,2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
twin health,Healthcare,Chennai,1162.0,Series C,"Sequoia Capital, Iconiq Capital, Perceptive Advisors",2021,October,HealthTech,Chennai,Tamil Nadu,India
trica,Equity Management,Mumbai,24.9,Seed,Letsventure,2021,October,Enterprise / SaaS,Mumbai,Maharashtra,India
rebel foods,Cloud Kitchen,Mumbai,1452.5,Series F,Qatar Investment Authority,2021,October,FoodTech,Mumbai,Maharashtra,India
profitwheel,Marketing & Advertising,Mumbai,24.9,Seed,"Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",2021,October,Marketing / AdTech,Mumbai,Maharashtra,India
log 9 materials,Nanotechnology,Bangalore,16.6,Unknown,Petrounknowns Ventures,2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
chingari,Entertainment,Bangalore,157.7,Unknown,Solaunknown,2021,October,Artificial Intelligence,Bangalore,Karnataka,India
ishitva,Computer Software,Ahmedabad,8.3,Pre-Series A,Inflection Point Ventures,2021,October,Enterprise / SaaS,Ahmedabad,Gujarat,India
ola,Automotive,Bangalore,1660.0,Unknown,"Falcon Edge, SoftBank",2021,October,Mobility / Automotive / EV,Bangalore,Karnataka,India
leapclub,Community,Gurgaon,6.72,Pre-Series A,"Enzia Ventures, Kuunknownl Shah",2021,October,Enterprise / SaaS,Gurgaon,Haryana,India
f5,Retail,Delhi,4.98,Pre-Series A,Auxano Capital,2021,October,Ecommerce / Retail,Delhi,Delhi,India
foreignadmits,Higher Education,Bangalore,3.32,Seed,Unicorn India Ventures,2021,October,EdTech,Bangalore,Karnataka,India
salt,Fintech,Bangalore,4.15,Pre-Seed,"Prashant Pansare, Supermorpheus",2021,October,FinTech,Bangalore,Karnataka,India
earnwealth,Fintech,Pune,4.15,Pre-Series A,Unknown,2021,October,FinTech,Pune,Maharashtra,India
visit health,Healthcare,Delhi,62.25,Unknown,Docprime Technologies,2021,October,HealthTech,Delhi,Delhi,India
craterclub,Media,Bangalore,5.81,Seed,Lc Nueva Aif,2021,October,HealthTech,Bangalore,Karnataka,India
nftically,Nft,Gurgaon,8.3,Seed,"Nitish Mittersain, Gaurav Munjal",2021,October,Others,Gurgaon,Haryana,India
reshamandi,B2B,Bangalore,249.0,Series A,"9Unicorns, Venture Catalysts, Sandeep Singhal",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
zetwerk,Mechanical Or Industrial Engineering,Bangalore,4980.0,Unknown,Tradecred,2021,October,Others,Bangalore,Karnataka,India
hubilo,Software,Ahmedabad,1037.5,Series B,Alkeon Capital,2021,October,Enterprise / SaaS,Ahmedabad,Gujarat,India
m2p fintech,Fintech,Chennai,290.5,Series C,Tiger Global,2021,October,FinTech,Chennai,Tamil Nadu,India
open financial,Fintech,Bangalore,747.0,Series C,"Temasek, Google, Sbi Investment",2021,October,FinTech,Bangalore,Karnataka,India
niro,Fintech,Bangalore,29.05,Seed,Elevar Equity,2021,October,FinTech,Bangalore,Karnataka,India
wiingy,Edtech,Bangalore,3.32,Unknown,Aroa Ventures,2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
car dekho,Automotive,Jaipur,2075.0,Series E,Unknown,2021,October,Mobility / Automotive / EV,Jaipur,Rajasthan,India
melorra,D2C Jewellery,Bangalore,199.2,Unknown,"9Unicorns, Symphony Interunknowntiounknownl Holdings Limited, Value Quest",2021,October,Ecommerce / Retail,Bangalore,Karnataka,India
anka summor,Sales And Distribution,Bangalore,8.3,Pre-Series A,Inflection Point Ventures,2021,October,Others,Bangalore,Karnataka,India
tochai,SaaS,Mumbai,91.3,Series A,Unknown,2021,October,Enterprise / SaaS,Mumbai,Maharashtra,India
playto labs,Edtech,Bangalore,4.15,Seed,Inflection Point Ventures,2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
fraazo,Food,Mumbai,415.0,Series B,Westbridge Capital,2021,October,FoodTech,Mumbai,Maharashtra,India
arcana,Information Technology &,Bangalore,19.09,Unknown,"Republic Crypto, Woodstock, Dcg, Sahil Lavingia",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
flocareer,Information,Bangalore,47.31,Series A,Data Point Capital,2021,October,Others,Bangalore,Karnataka,India
nap chief,Apparel & Fashion,Mumbai,1.66,Seed,Titan Capital,2021,October,Consumer Goods / D2C,Mumbai,Maharashtra,India
acknoledger,Crypto,Mumbai,12.45,Seed,"Momentum 6, Basics Capital, Krypital Capital, Shima Capital, Magnus Capital",2021,October,Others,Mumbai,Maharashtra,India
applicateai,Information Technology &,Gurgaon,249.0,Series A,Unknown,2021,October,Enterprise / SaaS,Gurgaon,Haryana,India
vlcc health care,Healthcare,Gurgaon,33.2,Unknown,Unknown,2021,October,HealthTech,Gurgaon,Haryana,India
duroflex,Furniture,Bangalore,498.0,Unknown,Norwest Venture Partners,2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
aviom,Fintech,Bhilwara,66.4,Series C,Sabre Partners,2021,October,FinTech,,,
onato,Computer Software,Bangalore,18.26,Unknown,"Vertex Ventures, Omnivore",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
mestastop,Biotechnology,Bangalore,0.83,Unknown,Ciie.Co,2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
saas labs,SaaS,Noida,141.1,Series A,"Base 10 Partners, Eight Roads Ventures",2021,October,Enterprise / SaaS,Noida,Uttar Pradesh,India
devnagri,Translation & Localization,Noida,4.98,Seed,"Enture Catalyst, Ipv",2021,October,Others,Noida,Uttar Pradesh,India
cred,Fintech,Bangalore,2075.0,Series E,"Tiger Global, Falcon Edge",2021,October,FinTech,Bangalore,Karnataka,India
convegenius,Edtech,Noida,41.5,Pre-Seed,"Bace Capital, Heritas Capital, 3Lines Venture Capital",2021,October,Enterprise / SaaS,Noida,Uttar Pradesh,India
totality,Entertainment,Gurgaon,8.3,Unknown,"Leo Capital, Mayfield Fund",2021,October,Artificial Intelligence,Gurgaon,Haryana,India
credable,Fintech,Mumbai,249.0,Series B,"Plutus Wealth, Oaks Asset Maunknowngement",2021,October,FinTech,Mumbai,Maharashtra,India
marketwolf,Fintech,Mumbai,45.65,Seed,"Anil Thadani, Ashutosh Sinha, Roy Van Leeuwen",2021,October,FinTech,Mumbai,Maharashtra,India
wondrlab,Marketing & Advertising,Mumbai,58.1,Pre-Series A,"Pi Ventures Llp, Taunknowns Capital, Prodapt Holdings",2021,October,Marketing / AdTech,Mumbai,Maharashtra,India
sun mobility,Automotive,Bangalore,415.0,Unknown,Vitol,2021,October,Mobility / Automotive / EV,Bangalore,Karnataka,India
tamasha,Entertainment,Mumbai,24.9,Pre-Series A,Chiratae Ventures,2021,October,Artificial Intelligence,Mumbai,Maharashtra,India
revfin,Fintech,Delhi,33.2,Pre-Series A,"Ruchirans Jaipuria, Rishi Kajaria",2021,October,FinTech,Delhi,Delhi,India
yu foodlabs,Food,Gurgaon,8.3,Pre-Series A,"Manish Choksi, Varun Vakil",2021,October,FoodTech,Gurgaon,Haryana,India
mergerdomo,Investment Banking,Delhi,4.15,Unknown,Nadir B Godrej,2021,October,FinTech,Delhi,Delhi,India
farmart,Farming,Gurgaon,83.0,Series A,Matrix Partners,2021,October,AgriTech,Gurgaon,Haryana,India
questt,Edtech,Gurgaon,56.02,Series A,Celesta Capital,2021,October,Enterprise / SaaS,Gurgaon,Haryana,India
idfy,Information Technology &,Mumbai,83.0,Series D,"Transunion, Blume Ventures",2021,October,Enterprise / SaaS,Mumbai,Maharashtra,India
cleardekho,Retail,Ghaziabad,33.2,Pre-Series A,Aroa Ventures,2021,October,Ecommerce / Retail,Delhi,Uttar Pradesh,India
bookingjini,Hospitality,Gurgaon,9.96,Pre-Series A,Mumbai Angels Network,2021,October,HealthTech,Gurgaon,Haryana,India
sourcewiz,Information Technology &,Gurgaon,24.9,Seed,"Blume Ventures, Alpha Wave Incubation",2021,October,Enterprise / SaaS,Gurgaon,Haryana,India
tvasta,Mechanical Or Industrial Engineering,Chennai,3.32,Unknown,Habitat For Humanity Interunknowntiounknownl,2021,October,Others,Chennai,Tamil Nadu,India
kafqa academy,Edtech,Bangalore,10.79,Seed,"Global Founders Capital, Enzia Ventures, Better Capital",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
trell,Social Commerce,Bangalore,830.0,Unknown,Amazon,2021,October,Ecommerce / Retail,Bangalore,Karnataka,India
storia,Food,Mumbai,49.8,Series A,Sixth Sense Ventures,2021,October,FoodTech,Mumbai,Maharashtra,India
clear,Computer Software,Bangalore,622.5,Series C,"Kora Capital, Stripe, Alua Capital",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
groww,Fintech,Bangalore,2075.0,Series E,Iconiq Growth,2021,October,FinTech,Bangalore,Karnataka,India
the indus valley,Consumer Goods,Chennai,9.13,Unknown,"Rukam Capital, Dsg Consumer Partners, The Chenunknowni Angels",2021,October,Consumer Internet,Chennai,Tamil Nadu,India
bharat pe,Fintech,Delhi,83.0,Unknown,Mas Fiunknownncial Services,2021,October,FinTech,Delhi,Delhi,India
teachmint,Edtech,Bangalore,647.4,Series B,"Rocketship.Vc, Vulcan Capital",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
porter,Logistics,Bangalore,830.0,Series E,"Tiger Global, Vitruvian Partners",2021,October,Logistics / Supply Chain,Bangalore,Karnataka,India
o4s,Information Technology &,Gurgaon,49.8,Series A,"Think Investments, Venture Highway",2021,October,Enterprise / SaaS,Gurgaon,Haryana,India
wobb,Marketing,Gurgaon,1.66,Pre-Seed,"Alok Kohli, Sanjeev Bhargava",2021,October,Marketing / AdTech,Gurgaon,Haryana,India
basic home loan,Fintech,Gurgaon,29.05,Series A,"Venture Catalysts, Gruhas Proptech",2021,October,FinTech,Gurgaon,Haryana,India
siply,Fintech,Bangalore,26.56,Pre-Series A,"Letsventure, Angellist India, Founder'S Room Circle",2021,October,FinTech,Bangalore,Karnataka,India
banksathi,Fintech,Delhi,4.15,Unknown,"Dinesh Godara, Anuj Ahuja, Aditya",2021,October,FinTech,Delhi,Delhi,India
gramophone,Agritech,Indore,83.0,Unknown,Z3Partners,2021,October,AgriTech,Indore,Madhya Pradesh,India
healofy,Femtech,Bangalore,49.8,Series B,"Celesta Capital, Omidyar Network India",2021,October,HealthTech,Bangalore,Karnataka,India
e42,Computer Software,Pune,44.82,Series A,Pavestone Ventures,2021,October,Enterprise / SaaS,Pune,Maharashtra,India
spottabl,Human Resources,Bangalore,3.32,Seed,"Letsventure, Paradigm Shift Vc, Binny Bansal",2021,October,Others,Bangalore,Karnataka,India
dehaat,Information Technology &,Gurgaon,954.5,Series D,"Sofiunknown, Lightrock India, Temasek",2021,October,Enterprise / SaaS,Gurgaon,Haryana,India
zolve,Fintech,Bangalore,332.0,Series A,Dst Global,2021,October,FinTech,Bangalore,Karnataka,India
instoried,Computer Software,Bangalore,66.4,Unknown,"Pritt Investment Partners, 9Unicorns",2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
sportzchain,Sports,Mumbai,3.32,Pre-Seed,"Darq Capital, Jagadeesh Atukuri",2021,October,Media / Entertainment / Gaming,Mumbai,Maharashtra,India
hypto,Technology,Chennai,24.9,Seed,Stellaris Venture Partners,2021,October,Enterprise / SaaS,Chennai,Tamil Nadu,India
chupps,Foootwear,Mumbai,9.13,Pre-Series A,Venture Catalysts,2021,October,Others,Mumbai,Maharashtra,India
zenduty,Computer Software,Bangalore,15.77,Pre-Series A,Startupxseed Ventures,2021,October,Enterprise / SaaS,Bangalore,Karnataka,India
r for rabbit,Consumer Goods,Ahmedabad,41.5,Unknown,Xponentia Capital Partners,2021,October,Consumer Internet,Ahmedabad,Gujarat,India
acko,Insurance,Bangalore,2116.5,Series D,"General Atlantic, Multiples",2021,October,FinTech,Bangalore,Karnataka,India
lovelocal,Retail,Mumbai,149.4,Other,Vulcan Capital,2021,October,Ecommerce / Retail,Mumbai,Maharashtra,India
supplynote,Food,Noida,9.96,Pre-Series A,Venture Catalysts,2021,October,FoodTech,Noida,Uttar Pradesh,India
vakilsearch,Legal,Chennai,83.0,Unknown,Incorp India,2021,October,LegalTech,Chennai,Tamil Nadu,India
cloudphysician,Hospital & Health Care,Bangalore,33.2,Pre-Series A,Elevar Equity,2021,October,HealthTech,Bangalore,Karnataka,India
wigglesin,Veterinary,Pune,45.65,Pre-Series A,Anthill Ventures,2021,October,Others,Pune,Maharashtra,India
avanti finance,Fintech,Bangalore,124.5,Series A,"Oikocredit, Nomura, The Bill, Melinda Gates Foundation",2021,October,FinTech,Bangalore,Karnataka,India
vanity wagon,Consumer Goods,Delhi,5.81,Pre-Series A,Inflection Point Ventures,2021,October,Consumer Internet,Delhi,Delhi,India
purplle,Ecommerce,Mumbai,581.0,Unknown,Kedaara,2021,October,Ecommerce / Retail,Mumbai,Maharashtra,India
mfine,Hospital & Health Care,Bangalore,398.4,Series C,"Moore Strategic Ventures, Beenext",2021,September,HealthTech,Bangalore,Karnataka,India
mentza,Edtech,Mumbai,3.32,Seed,Inflection Point Ventures,2021,September,Enterprise / SaaS,Mumbai,Maharashtra,India
connectedh,Hospital & Health Care,Gurgaon,19.09,Seed,"Kalaari Capital, Incubate Fund India",2021,September,HealthTech,Gurgaon,Haryana,India
credavenue,Fintech,Chennai,747.0,Series A,"Sequoia Capital, Lightspeed, Tvs Capital Funds",2021,September,FinTech,Chennai,Tamil Nadu,India
vedantu,Edtech,Bangalore,830.0,Series E,Abc World Asia,2021,September,Enterprise / SaaS,Bangalore,Karnataka,India
exotel,Telecommunications,Bangalore,290.5,Series C,"Iifl Amc, Sistema Asia Fund, Cx Partners, Singularity Growth Opportunities Fund",2021,September,Ecommerce / Retail,Bangalore,Karnataka,India
fantasy akhada,Sports,Gurgaon,16.6,Series A,Prime Securities Limited,2021,September,Media / Entertainment / Gaming,Gurgaon,Haryana,India
meesho,Social Commerce,Bangalore,4731.0,Unknown,"Fidelity, B Capital",2021,September,Ecommerce / Retail,Bangalore,Karnataka,India
cusmat,Computer Software,Hyderabad,0.83,Pre-Series A,We Founder Circle,2021,September,Enterprise / SaaS,Hyderabad,Telangana,India
homeville,Information Technology &,Mumbai,58.1,Unknown,"9Unicorns, Varanium Nexgen Fund",2021,September,Enterprise / SaaS,Mumbai,Maharashtra,India
coinshift,Blockchain,Chandigarh,20.75,Seed,"Sequoia Capital, Sandeep Nailwal",2021,September,Artificial Intelligence,Chandigarh,Chandigarh,India
strip finance,Fintech,Hyderabad,3.32,Seed,"Old Fashion Research, Nothing Research, Tenzor Capital",2021,September,FinTech,Hyderabad,Telangana,India
ola,Automotive,Bangalore,1660.0,Unknown,"Falcon Edge, SoftBank",2021,September,Mobility / Automotive / EV,Bangalore,Karnataka,India
kolo,Construction,Bangalore,4.57,Pre-Seed,Better Capital,2021,September,Real Estate / PropTech,Bangalore,Karnataka,India
chqbook,Fintech,Gurgaon,41.5,Other,"Aavishkaar Capital, Rajiv Dadlani Group",2021,September,FinTech,Gurgaon,Haryana,India
ev plugs,Information Technology &,Gurgaon,1.25,Unknown,Unknown,2021,September,Enterprise / SaaS,Gurgaon,Haryana,India
rulezero,Fintech,Bangalore,20.75,Seed,The Treasury,2021,September,FinTech,Bangalore,Karnataka,India
credright,Fintech,Hyderabad,22.41,Unknown,"9Unicorns, Spearhead Capital, Venture Catalysts",2021,September,FinTech,Hyderabad,Telangana,India
karbon card,Fintech,Bangalore,99.6,Pre-Series A,"Ramp, Rainfall Ventures, Roka Works, Y Combiunknowntor",2021,September,FinTech,Bangalore,Karnataka,India
auntie fung,Food,Bangalore,3.32,Unknown,India Angel Network,2021,September,FoodTech,Bangalore,Karnataka,India
epaylater,Fintech,Mumbai,83.0,Series B,"Responsibility, Blue Ashva Capital, Pravega Ventures",2021,September,FinTech,Mumbai,Maharashtra,India
fittr,Healthcare,Pune,91.3,Series A,"Dream Capital, Elysian Park Ventures",2021,September,HealthTech,Pune,Maharashtra,India
medikabazaar,Healthcare,Mumbai,622.5,Series C,"Cdc Group, Creaegis",2021,September,HealthTech,Mumbai,Maharashtra,India
delhivery,Logistics,Gurgaon,1037.5,Unknown,"Lee Fixel’S Venture Capital Firm, Addition",2021,September,Logistics / Supply Chain,Gurgaon,Haryana,India
akudo,Fintech,Bangalore,34.86,Seed,"Y Combiunknowntor, Jafco Asia, Incubate Fund India, Marquee Angels",2021,September,FinTech,Bangalore,Karnataka,India
sanctum wealth,Investment Management,Mumbai,83.0,Unknown,The Xander Group,2021,September,FinTech,Mumbai,Maharashtra,India
88academics,Edtech,Delhi,24.9,Pre-Series A,Aarin Capital,2021,September,Enterprise / SaaS,Delhi,Delhi,India
sanfe,Healthcare,Delhi,8.3,Series A,"Letsventure, Ajay Garg, Tarun Sharma",2021,September,HealthTech,Delhi,Delhi,India
predictivu,Management Consulting,Gurgaon,12.45,Pre-Seed,Kuunknownl Sarkar,2021,September,Enterprise / SaaS,Gurgaon,Haryana,India
sterling accuris wellness,Hospital & Health Care,Ahmedabad,249.0,Unknown,Morgan Stanley Private Equity Asia,2021,September,HealthTech,Ahmedabad,Gujarat,India
bijnis,B2B,Delhi,249.0,Series B,Westbridge Capital,2021,September,Enterprise / SaaS,Delhi,Delhi,India
capital float,Fintech,Bangalore,415.0,Unknown,Lightrock India,2021,September,FinTech,Bangalore,Karnataka,India
manch,Information Technology &,Bangalore,8.3,Pre-Series A,Bharat Inclusion,2021,September,Enterprise / SaaS,Bangalore,Karnataka,India
glamyo health,Hospital & Health Care,Delhi,24.9,Series A,Aunknownnta Capital,2021,September,HealthTech,Delhi,Delhi,India
cashbook,Fintech,Gurgaon,19.09,Seed,"Jam, Better Tomorrow Ventures",2021,September,FinTech,Gurgaon,Haryana,India
the money club,Fintech,Noida,14.11,Pre-Series A,"Sosv, Venture Catalysts",2021,September,FinTech,Noida,Uttar Pradesh,India
superzop,Retail,Mumbai,33.2,Series A,Incofin’S India Progress Fund,2021,September,Ecommerce / Retail,Mumbai,Maharashtra,India
zypp electric,Logistics,Gurgaon,58.1,Series A,"9Unicorns, Anthill Ventures",2021,September,Logistics / Supply Chain,Gurgaon,Haryana,India
alpha coach,Professional Training & Coaching,Mumbai,9.96,Unknown,Jani Ventures Inc,2021,September,Artificial Intelligence,Mumbai,Maharashtra,India
vro hospitality,Hospitality,Bangalore,24.9,Series A,Creedcap Asia Advisors,2021,September,HealthTech,Bangalore,Karnataka,India
bytexl,Edtech,Hyderabad,1.66,Unknown,Joseph Joy,2021,September,Enterprise / SaaS,Hyderabad,Telangana,India
leena ai,Computer Software,Gurgaon,249.0,Series B,Bessemer Venture Partners,2021,September,Enterprise / SaaS,Gurgaon,Haryana,India
cars24,Automotive,Gurgaon,3735.0,Series F,"Dst Global, Falcon Edge, Softbank Vision Fund 2",2021,September,Mobility / Automotive / EV,Gurgaon,Haryana,India
klub,Fintech,Bangalore,16.6,Debt,Trifecta Capital,2021,September,FinTech,Bangalore,Karnataka,India
bluepad,Online Media,Bangalore,1.66,Pre-Seed,"Titan Capital, Angellist'S Syndicate",2021,September,HealthTech,Bangalore,Karnataka,India
flobiz,Information Technology &,Bangalore,257.3,Series B,Sequoia Capital,2021,September,Enterprise / SaaS,Bangalore,Karnataka,India
tummoc,Mobility,Bangalore,4.48,Seed,"Vineet Singh, Krishunknown D, Deependra Bisht, Alan Aim",2021,September,Enterprise / SaaS,Bangalore,Karnataka,India
design cafe,Design,Bangalore,207.5,Unknown,"Westbridge Capital, Sixth Sense Ventures",2021,September,Others,Bangalore,Karnataka,India
aerchain,Computer Software,Bangalore,24.9,Pre-Series A,"Season Two Ventures, Indiamart",2021,September,Enterprise / SaaS,Bangalore,Karnataka,India
curiousjr,Edtech,Gurgaon,8.3,Seed,"Waterbridge Ventures, Enzia Ventures",2021,September,Enterprise / SaaS,Gurgaon,Haryana,India
wow momo,Food,Kolkata,124.5,Series C,Tree Line Investment Maunknowngement,2021,September,FoodTech,Kolkata,West Bengal,India
supertails,Consumer,Bangalore,5.81,Unknown,Alteria Capital,2021,September,Consumer Internet,Bangalore,Karnataka,India
lifecell,Biotechnology,Chennai,249.0,Unknown,Orbimed Asia Partners,2021,September,Enterprise / SaaS,Chennai,Tamil Nadu,India
zestmoney,Fintech,Bangalore,415.0,Series C,Zip Co,2021,September,FinTech,Bangalore,Karnataka,India
