Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month
my omnamo,Consumer Internet,Mumbai,8.3,Other,Unknown,2018,August
shopx,Consumer Internet,Bangalore,290.5,Private Equity,Fung Strategic Holdings,2018,August
makemytrip,Consumer Internet,Gurgaon,83.0,Private Equity,Makemytrip Limited,2018,August
hansel io,Consumer Internet,Bangalore,33.2,Other,Vertex Ventures,2018,August
metro bikes,Consumer Internet,Bangalore,101.26,Private Equity,"Sequoia Capital India Advisors, Accel Partners And G Raghuunknownndan",2018,August
phone pe,Consumer Internet,Bangalore,547.8,Private Equity,Flipkart,2018,August
quizizz,Edtech,Bangalore,24.9,Other,"Nexus Venture Partners, Prime Venture Partners And Others",2018,August
happy emi,Fintech,Bangalore,8.3,Other,Aj Ventures And Jain Interunknowntiounknownl Trade Organisation (Jito),2018,August
inthree,Consumer Internet,Chennai,33.2,Other,"Ventureast, Orios Venture Partners And The Ian Fund",2018,August
observe ai,Technology,Bangalore,66.4,Private Equity,"Nexus Venture Partners, Mgv, Liquid 2 Ventures, Hack Vc, Emergent Ventures And Y Combiunknowntor",2018,August
enakshi,Consumer Internet,Ahemadabad,0.95,Other,Unknown,2018,August
eazydiner,Consumer Internet,Gurgaon,48.55,Private Equity,Denlow Investment Trust And Beenext,2018,August
finzy,Fintech,Bangalore,8.3,Other,Unknown,2018,August
rawpressery,Consumer Internet,Mumbai,39.84,Debt,Alteria Capital,2018,August
pi ventures,Technology,Bangalore,49.8,Private Equity,Cdc Group Plc\\Xc2\\Xa0,2018,August
revv,Consumer Internet,Gurgaon,118.44,Private Equity,"Hyundai, Edelweiss And Beenext, Dream Incubator, Sunjay Kapoor And Telama Investment",2018,August
zestmoney,Consumer Internet,Bangalore,111.22,Private Equity,"Xiaomi, Payu, Ribbit Capital And Omidyar Network",2018,August
shubh loans,Fintech,Bangalore,34.86,Private Equity,"Saama Capital, Sri Capital, Beenext, And Pravega Ventures",2018,August
myupchar,Healthcare,Delhi,41.5,Private Equity,"Nexus Venture Partners, Omidyar Network And Shunwei Capital",2018,August
narvar,It,Bangalore,24.9,Private Equity,Accel (Formerly Known As Accel Partners),2018,August
