Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Catamaran Ventures,314.16,3,2018-05-19,"Consumer Internet, Payment, Technology","Private Equity, Other","Bangalore, Mumbai",0.32,3.5,2018-05-19
Docprime Technologies,312.25,1,2024-08-08,Healthcare,"Unknown, Other","Delhi, Nan",0.75,1.5,2024-08-08
Massmutual Ventures,311.25,3,2025-10-08,"Hospital & Health Care, Computer & Security, Fintech","Pre-Series A, Series A, Series B","Bangalore, Nan",1.0,1.0,2025-10-08
Ankur Capital,309.69,11,2025-06-27,"Agritech, Food & Logistics, Supply","Pre-Series A, Seed, Other","Bangalore, Mumbai, Udaipur",0.61,2.17,2025-06-27
Dharaunknown Capital,307.1,3,2025-04-08,"Smart Kitchen Appliances, Drone, Insurance Infrastructure Api","Seed, Unspecified Round, Series D","Bangalore, Delhi, Noida",0.5,3.33,2025-04-08
Torrent Group,307.1,1,2016-08-22,Healthcare,Private Equity,Mumbai,1.0,1.0,2016-08-22
Lakshmikant Pb And Murthy Aradhi,307.1,1,2022-04-13,Healthcare,Unknown,Hyderabad,1.0,1.0,2022-04-13
Xl Innovate,307.1,1,2019-08-16,Automotive,Series B,San Francisco,1.0,1.0,2019-08-16
Aroa Ventures,306.27,4,2021-11-20,"Retail, Consumer Electronics, Information Technology &","Unknown, Pre-Series A","Delhi, Mumbai, Ahmedabad",0.67,2.0,2021-11-20
Llc,304.61,4,2025-05-09,"Fintech, It, Healthcare","Series B, Series C, Unknown","Jaipur, Delhi, Bangalore",0.38,3.0,2025-05-09
Dallas Venture Capital,304.02,5,2025-07-12,"Finops Automation, Edtech, Ai","Series B, Pre-Series A, Series A","Bangalore, Nan, Mumbai",0.34,3.6,2025-07-12
Indian Angel Network,303.2,40,2025-09-23,"Consumer Internet, Technology, Healthcare","Seed, Private Equity, Pre-Series A","Delhi, Bangalore, Noida",0.69,1.9,2025-09-23
Flipkart Ventures,302.54,2,2025-06-13,"D2C, Logistics","Series A, Seed","Bangalore, Delhi",0.5,2.0,2025-06-13
Lighthouse Canton,300.0,1,2024-10-05,B2B,Debt,Bangalore,0.5,2.0,2024-10-05
Automating Your Receivables Maunknowngement,300.0,1,2022-02-26,Fintech,Other,Mumbai,1.0,1.0,2022-02-26
Stride Ventures And Others,300.0,1,2024-10-05,B2B,Debt,Bangalore,0.5,2.0,2024-10-05
Il,299.63,3,2018-05-15,"It, Fintech, Technology","Private Equity, Other","Mumbai, Chennai",0.26,4.0,2018-05-15
Nexus Ventures And Vauld,299.63,1,2022-05-23,Information Technology,Unknown,Nan,1.0,1.0,2022-05-23
E.Ventures,298.8,2,2017-03-13,"Consumer Internet, Technology",Private Equity,"Gurgaon, Pune",0.17,6.0,2017-03-13
Tekne Capital Maunknowngement,298.8,1,2017-08-08,Consumer Internet,Private Equity,Gurgaon,1.0,1.0,2017-08-08
Gruhas,296.38,5,2025-04-26,"Mortgage Distribution, D2C, Ev Charging","Seed, Series B, Strategic Investment","Mumbai, Gurgaon, Bangalore",0.71,2.2,2025-04-26
