Investor,Total_Invested,Num_Investments,Last_Date,Top_Sub_Sectors,Top_Stages,Top_Cities,Avg_HHI,Avg_Unique_Leads,Last_Investment
Srinivas Modukury,8.3,1,2015-02-07,Other,Other,Nan,0.33,3.0,2015-02-07
Ashutosh Valani,8.3,1,2024-11-06,Retail Luxury Goods And Jewellery,Seed,Mumbai,0.11,9.0,2024-11-06
Ghazal Alagh,8.3,1,2024-11-06,Retail Luxury Goods And Jewellery,Seed,Mumbai,0.11,9.0,2024-11-06
Priyank Shah,8.3,1,2024-11-06,Retail Luxury Goods And Jewellery,Seed,Mumbai,0.11,9.0,2024-11-06
Hatcher+,8.3,1,2024-08-10,Biotech,Seed,Nan,0.25,4.0,2024-08-10
Zeropearl Ventures,8.3,1,2024-11-06,Retail Luxury Goods And Jewellery,Seed,Mumbai,0.11,9.0,2024-11-06
Rpunknownsanjiv Goenka Group,8.3,1,2021-01-08,Food,Unknown,Pune,1.0,1.0,2021-01-08
Yatin Kumar Jain,8.3,1,2016-04-12,Consumer Internet,Seed,Delhi,0.5,2.0,2016-04-12
Vineeta Singh,8.3,1,2025-02-24,D2C Reusable Period Panties,Pre-Series A,Bangalore,0.14,7.0,2025-02-24
Equanimity Venture Fund,8.3,1,2018-06-03,Fintech,Other,Gurgaon,1.0,1.0,2018-06-03
Pravin Khandelwal,8.3,1,2016-04-12,Consumer Internet,Seed,Delhi,0.5,2.0,2016-04-12
Lotus Holdings,8.3,1,2025-04-01,Preseries A,Pre-Series A,Mumbai,1.0,1.0,2025-04-01
I2I Capitals,8.3,1,2020-10-14,Legaltech,Seed,Kolkata,1.0,1.0,2020-10-14
Holostik Group,8.3,1,2015-06-14,Edtech,Private Equity,Delhi,0.17,6.0,2015-06-14
Leo Capital India,8.3,1,2020-12-11,Gaming,Seed,Bangalore,0.5,2.0,2020-12-11
Amit Hooja,8.3,1,2022-01-04,Software,Unknown,Delhi,0.25,4.0,2022-01-04
Amit Jain,8.3,1,2022-01-04,Software,Unknown,Delhi,0.25,4.0,2022-01-04
Krishen Lal Khanunknown,8.3,1,2021-05-07,Fintech,Pre-Series A,Mumbai,0.5,2.0,2021-05-07
Angel Investment Group,8.3,1,2024-12-27,Manufacturing Data,Seed,Bangalore,0.5,2.0,2024-12-27
Aashka Goradia Goble,8.3,1,2024-11-06,Retail Luxury Goods And Jewellery,Seed,Mumbai,0.11,9.0,2024-11-06
Lantern Capital,8.3,1,2015-02-21,Other,Private Equity,Nan,0.5,2.0,2015-02-21
The Chenunknowni Angels (Tca),8.3,1,2020-01-12,Beverage,Unknown,Chennai,1.0,1.0,2020-01-12
Farid Ahsan,8.3,1,2021-03-21,Drone,Seed,Chennai,0.5,2.0,2021-03-21
Dtdc Express Ltd,8.3,1,2016-04-07,Logistics,Private Equity,Gurgaon,1.0,1.0,2016-04-07
Polygon Fund,8.3,1,2022-01-03,Information Technology &,Seed,Chennai,0.5,2.0,2022-01-03
Contrary Capital,8.3,1,2022-01-03,Information Technology &,Seed,Chennai,0.5,2.0,2022-01-03
Rpg Enterprises,8.3,1,2017-09-19,Ecommerce,Private Equity,Pune,1.0,1.0,2017-09-19
Jimmy Singh,8.3,1,2021-01-01,Technology,Seed,Delhi,1.0,1.0,2021-01-01
Yournest Angel Fund\\Xc2\\Xa0,8.3,1,2016-07-14,Consumer Internet,Private Equity,Gurgaon,0.5,2.0,2016-07-14
Bs Nagesh,8.3,1,2015-02-07,Other,Other,Nan,0.33,3.0,2015-02-07
U.Sunknownbased Bat Vc,8.3,1,2024-08-10,Virtual Tryon,Unspecified Round,Bangalore,0.5,2.0,2024-08-10
Srinivas Aluri,8.3,1,2015-02-07,Other,Other,Nan,0.33,3.0,2015-02-07
Hr Fund,8.3,1,2018-03-19,Consumer Internet,Other,Mumbai,1.0,1.0,2018-03-19
Stanford Angels And Entrepreneurs India,8.3,1,2021-06-06,Healthcare,Pre-Series A,Delhi,0.5,2.0,2021-06-06
Delhi Private School,8.3,1,2020-12-08,Edtech,Pre-Series A,Bangalore,0.33,3.0,2020-12-08
Beyondseed,8.3,1,2025-02-24,D2C Reusable Period Panties,Pre-Series A,Bangalore,0.14,7.0,2025-02-24
Uc Inclusive Credit,8.3,1,2021-08-12,Consumer Goods,Unknown,Bangalore,0.5,2.0,2021-08-12
Western Capital,8.3,1,2021-08-12,Consumer Goods,Unknown,Bangalore,0.5,2.0,2021-08-12
Stevens Creek Ventures,8.3,1,2018-11-15,Transport,Other,Bangalore,1.0,1.0,2018-11-15
Purpletalk Inc,8.3,1,2016-03-12,Consumer Internet,Seed,Hyderabad,1.0,1.0,2016-03-12
Grey Orange Robotics,8.3,1,2016-02-04,Food,Seed,Delhi,0.5,2.0,2016-02-04
Alok Rawat,8.3,1,2016-02-04,Food,Seed,Delhi,0.5,2.0,2016-02-04
Thrive Ventures,8.3,1,2025-02-24,D2C Reusable Period Panties,Pre-Series A,Bangalore,0.14,7.0,2025-02-24
Aumvc,8.3,1,2024-08-05,Ai,Seed,Noida,0.17,6.0,2024-08-05
Iim Indore Alumni Angel Fund,8.3,1,2024-08-05,Ai,Seed,Noida,0.17,6.0,2024-08-05
Venture Catalyst,8.3,1,2024-08-05,Ai,Seed,Noida,0.17,6.0,2024-08-05
Eclear Leasing,8.3,1,2021-08-19,Fintech,Unknown,Delhi,1.0,1.0,2021-08-19
Deepak Jain,8.3,1,2022-01-04,Software,Unknown,Delhi,0.25,4.0,2022-01-04
Etc.),8.3,1,2024-10-14,Nocode Builder,Seed,Pune,0.33,3.0,2024-10-14
Uae,8.3,1,2020-12-08,Edtech,Pre-Series A,Bangalore,0.33,3.0,2020-12-08
Om Jain,8.3,1,2024-10-04,Saas,Seed,Bangalore,1.0,1.0,2024-10-04
Aj Ventures And Jain Interunknowntiounknownl Trade Organisation (Jito),8.3,1,2018-08-18,Fintech,Other,Bangalore,1.0,1.0,2018-08-18
Dna Entertainment Networks,8.3,1,2021-03-16,Tourism,Pre-Series A,Panaji,0.5,2.0,2021-03-16
Krishunknown Bhupal,8.3,1,2022-01-08,Automotive,Seed,Bangalore,0.5,2.0,2022-01-08
Rajeev Chitrabhanu,8.3,1,2020-01-10,Technology,Pre-Series A,Nan,0.33,3.0,2020-01-10
Shajikumar Devakar,8.3,1,2022-01-08,Automotive,Seed,Bangalore,0.5,2.0,2022-01-08
Angel Investors From Goldman Sachs,8.3,1,2025-02-10,Food,Unspecified Round,Pune,0.25,4.0,2025-02-10
Mensa Brands,8.3,1,2022-02-06,Cosmetics,Series A,Ahmedabad,1.0,1.0,2022-02-06
Fdi,8.3,1,2025-02-10,Food,Unspecified Round,Pune,0.25,4.0,2025-02-10
\\Xc2\\Xa0 Smart Start Fund; Kuunknownl Shah,8.3,1,2016-10-20,Consumer Internet,Seed,Mumbai,0.17,6.0,2016-10-20
\\Xc2\\Xa0 Sandeep Tandon,8.3,1,2016-10-20,Consumer Internet,Seed,Mumbai,0.17,6.0,2016-10-20
Pravin Gandhi,8.3,1,2016-10-20,Consumer Internet,Seed,Mumbai,0.17,6.0,2016-10-20
Oracle,8.3,1,2025-02-10,Food,Unspecified Round,Pune,0.25,4.0,2025-02-10
Silver Range Investments,8.3,1,2016-11-06,Consumer Internet,Private Equity,Panaji,0.25,4.0,2016-11-06
Unicorn India Venture,8.3,1,2022-09-26,Information Technology,Seed,Chennai,1.0,1.0,2022-09-26
Wami Capital,8.3,1,2022-01-07,Mobile Games,Seed,Bangalore,0.33,3.0,2022-01-07
Bessemer Ventures,8.3,1,2015-04-26,Used Gadgets Buy / Refurbishing,Seed,Gurgaon,0.5,2.0,2015-04-26
Rajeev Chitrabhanu.,8.3,1,2020-01-10,Technology,Pre-Series A,Noida,0.33,3.0,2020-01-10
Udaan Angels,8.3,2,2016-10-16,"Qsr & Online Delivery Portal, Consumer Internet",Seed,Gurgaon,0.23,4.5,2016-10-16
Gautham Madhavan,8.3,1,2020-03-26,Ecommerce,Unknown,Mumbai,1.0,1.0,2020-03-26
Capitaloven,8.3,1,2025-10-24,Environment > Solid Waste Management,Seed,Nan,1.0,1.0,2025-10-24
Idfc Parampara Early Stage Opportunities Fund,8.3,1,2017-03-12,Technology,Private Equity,Noida,1.0,1.0,2017-03-12
Satish Grampurohit,8.3,1,2021-01-12,Vehicle Repair,Seed,Bangalore,1.0,1.0,2021-01-12
Tradecred And Matrix Partners India,8.3,1,2022-09-28,Saas,Seed,Bangalore,1.0,1.0,2022-09-28
Duunknownmis Ventures Pte Ltd.,8.3,1,2016-02-05,Consumer Internet,Seed,Pune,1.0,1.0,2016-02-05
Abu Farhan Azmi,8.3,1,2017-05-18,Ecommerce,Seed,Mumbai,0.5,2.0,2017-05-18
Krishan Gupta,8.3,1,2015-07-02,Healthcare,Seed,Mumbai,0.33,3.0,2015-07-02
Reddy Futures,8.3,1,2021-05-18,Technology,Seed,Bangalore,0.5,2.0,2021-05-18
Induslaw,8.3,1,2021-05-18,Technology,Seed,Bangalore,0.5,2.0,2021-05-18
Vikram Tandon,8.3,1,2015-09-04,Of Tea Cafxc3Xa9Xe2X80X99S,Seed,Mumbai,0.25,4.0,2015-09-04
Polaris Fund,8.3,1,2018-01-13,Technology,Private Equity,Pune,1.0,1.0,2018-01-13
Shyam Sundar R,8.3,1,2015-09-04,Of Tea Cafxc3Xa9Xe2X80X99S,Seed,Mumbai,0.25,4.0,2015-09-04
Anil Matai,8.3,1,2015-09-04,Of Tea Cafxc3Xa9Xe2X80X99S,Seed,Mumbai,0.25,4.0,2015-09-04
Zenith Global,8.3,1,2020-12-21,Fintech,Unknown,Mumbai,1.0,1.0,2020-12-21
Ayesha Takia Azmi,8.3,1,2017-05-18,Ecommerce,Seed,Mumbai,0.5,2.0,2017-05-18
Unknown Hni Investors,8.3,1,2016-08-20,Consumer Internet,Private Equity,Chennai,1.0,1.0,2016-08-20
Magic Fund,8.3,2,2022-01-27,"Information Technology &, Edtech",Unknown,"Delhi, Mumbai",0.42,2.5,2022-01-27
Aunknownnd Prakash Sharma,8.3,1,2021-07-06,Food,Unknown,Bangalore,1.0,1.0,2021-07-06
Mohit Bajaj,8.3,1,2025-02-23,Home Decor D2C,Other,Gurgaon,0.5,2.0,2025-02-23
Deep Bajaj,8.3,1,2025-02-23,Home Decor D2C,Other,Gurgaon,0.5,2.0,2025-02-23
Interstar,8.3,1,2020-12-08,Edtech,Pre-Series A,Bangalore,0.33,3.0,2020-12-08
Global Innovation Fund,8.3,1,2020-01-21,Agritech,Unknown,Noida,0.5,2.0,2020-01-21
Soros Economic Development Fund,8.3,1,2020-01-21,Agritech,Unknown,Noida,0.5,2.0,2020-01-21
Chittorgarh Infotech Limited,8.3,1,2024-11-19,Drone & Space,Other,Delhi,0.33,3.0,2024-11-19
Kalaari Capital (Cxxo Initiative),8.3,1,2024-12-02,Climate Technology,Seed,Gurgaon,1.0,1.0,2024-12-02
Kia Ora Ventures,8.3,1,2020-11-03,Recruitment,Seed,Hyderabad,0.5,2.0,2020-11-03
Tryrock Capital Trust Aif,8.3,1,2024-11-19,Drone & Space,Other,Delhi,0.33,3.0,2024-11-19
Rishi Kumar Bagla,8.3,1,2021-05-07,Fintech,Pre-Series A,Mumbai,0.5,2.0,2021-05-07
Viney Equity Markets Llp,8.3,1,2024-11-19,Drone & Space,Other,Delhi,0.33,3.0,2024-11-19
Sandeep Parwal,8.3,1,2015-07-02,Healthcare,Seed,Mumbai,0.33,3.0,2015-07-02
Nitish Mittersain,8.3,1,2021-10-02,Nft,Seed,Gurgaon,0.5,2.0,2021-10-02
Dlabs,8.3,1,2021-01-16,Edtech,Pre-Series A,Delhi,0.5,2.0,2021-01-16
Aavishkaar Venture Maunknowngement,8.3,1,2016-11-07,Logistics,Private Equity,Bangalore,1.0,1.0,2016-11-07
Other Undisclosed Investors,8.3,1,2016-02-27,Consumer Internet,Seed,Bangalore,0.5,2.0,2016-02-27
Ice Vc,8.3,1,2024-09-19,Gaming Game Development,Unspecified Round,Mumbai,0.2,5.0,2024-09-19
Nexus Global Opportunities Fund,8.3,1,2024-09-19,Gaming Game Development,Unspecified Round,Mumbai,0.2,5.0,2024-09-19
Swastika Co Ltd.,8.3,1,2016-09-02,Consumer Internet,Seed,Indore,1.0,1.0,2016-09-02
Orios Venture Partner,8.3,1,2015-02-06,Other,Private Equity,Nan,1.0,1.0,2015-02-06
Darius Pandole,8.3,1,2016-08-08,Food,Seed,Mumbai,0.17,6.0,2016-08-08
Real Time Ventures,8.3,1,2017-06-10,Healthcare,Private Equity,Delhi,0.25,4.0,2017-06-10
Shivani Singh,8.3,1,2018-01-11,Healthcare,Private Equity,Gurgaon,0.14,7.0,2018-01-11
Real Time Ventures.,8.3,1,2018-01-11,Healthcare,Private Equity,Gurgaon,0.14,7.0,2018-01-11
People Group (Shaadi.Com),8.3,1,2015-01-09,Other,Private Equity,Nan,1.0,1.0,2015-01-09
Rahul Maroli,8.3,1,2018-01-11,Healthcare,Private Equity,Gurgaon,0.14,7.0,2018-01-11
Tnf Ventures,8.3,1,2021-06-12,Edtech,Pre-Series A,Mumbai,0.5,2.0,2021-06-12
Lvx,8.3,1,2025-07-17,Consumer,Pre-Seed,Bangalore,1.0,1.0,2025-07-17
Nihon Kotsu Co,8.3,1,2016-07-05,Consumer Internet,Private Equity,Delhi,1.0,1.0,2016-07-05
Nitin Bagmane,8.3,1,2016-02-27,Consumer Internet,Seed,Bangalore,0.5,2.0,2016-02-27
Subramaniam Ramadorai,8.3,1,2020-12-09,Crowdsourcing,Pre-Series A,Pune,0.5,2.0,2020-12-09
Farhan Naqvi,8.3,1,2017-06-11,Consumer Internet,Seed,Delhi,0.33,3.0,2017-06-11
Harsh Mahajan,8.3,1,2017-06-11,Consumer Internet,Seed,Delhi,0.33,3.0,2017-06-11
Behram Vakil And Jerxis Vandrevala,8.3,1,2018-05-27,Technology,Other,Mumbai,0.5,2.0,2018-05-27
Zoya Akhtar,8.3,1,2015-12-19,Wedding Venues & Vendors,Seed,Mumbai,0.17,6.0,2015-12-19
Sreepathy Viswaunknownthan,8.3,1,2017-06-11,Consumer Internet,Seed,Delhi,0.33,3.0,2017-06-11
Dheerag Jain,8.3,1,2016-08-08,Food,Seed,Mumbai,0.17,6.0,2016-08-08
Tashwinder Singh,8.3,1,2016-03-12,Edtech,Private Equity,Mumbai,0.2,5.0,2016-03-12
Mike Novogratz,8.3,1,2021-12-07,Apparel & Fashion,Seed,Mumbai,0.5,2.0,2021-12-07
Taranjit Jaswal,8.3,1,2016-03-12,Edtech,Private Equity,Mumbai,0.2,5.0,2016-03-12
Ruchi Narain,8.3,1,2015-12-19,Wedding Venues & Vendors,Seed,Mumbai,0.17,6.0,2015-12-19
Blinc Advisors,8.3,1,2016-03-12,Edtech,Private Equity,Mumbai,0.2,5.0,2016-03-12
Reema Kagati,8.3,1,2015-12-19,Wedding Venues & Vendors,Seed,Mumbai,0.17,6.0,2015-12-19
Prarambh Ventures,8.3,1,2024-12-12,Fintech,Seed,Bangalore,0.25,4.0,2024-12-12
Cd Equifinance,8.3,1,2024-09-19,Gaming Game Development,Unspecified Round,Mumbai,0.2,5.0,2024-09-19
Omnivore Capital,8.3,1,2016-11-28,Fintech,Seed,Delhi,1.0,1.0,2016-11-28
Naya Ventures,8.3,1,2015-08-14,Deep Learning Cloud Algorithms,Seed,Chennai,0.33,3.0,2015-08-14
Varun Vakil,8.3,1,2021-10-22,Food,Pre-Series A,Gurgaon,0.5,2.0,2021-10-22
Deshe Holdings,8.3,1,2019-07-03,Transport,Series J,Bangalore,0.33,3.0,2019-07-03
Dig Investment Ab,8.3,1,2019-07-03,Transport,Series J,Bangalore,0.33,3.0,2019-07-03
Srinivas Kollipara,8.3,1,2020-01-05,Edtech,Series A,Mumbai,0.5,2.0,2020-01-05
Samih Toukan And Hussam Khoury,8.3,1,2019-07-03,Transport,Series J,Bangalore,0.33,3.0,2019-07-03
Industry Leaders,8.3,1,2024-11-10,Sameday Delivery,Seed,Delhi,0.17,6.0,2024-11-10
D2C Insider Angels,8.3,1,2024-11-10,Sameday Delivery,Seed,Delhi,0.17,6.0,2024-11-10
Breathe Capital,8.3,1,2024-11-10,Sameday Delivery,Seed,Delhi,0.17,6.0,2024-11-10
Ashish Agrawal,8.3,1,2017-04-18,Consumer Internet,Seed,Bangalore,0.2,5.0,2017-04-18
Mayank Bhangdia,8.3,1,2015-10-01,Online Food Ordering & Delivery,Private Equity,Gurgaon,0.33,3.0,2015-10-01
Surot Chatterjee,8.3,1,2017-04-18,Consumer Internet,Seed,Bangalore,0.2,5.0,2017-04-18
Usunknownbased Angel Investors,8.3,1,2020-01-18,Marketing & Customer Loyalty,Pre-Series A,Hyderabad,1.0,1.0,2020-01-18
Eximius,8.3,1,2025-04-07,B2B,Seed,Gurgaon,1.0,1.0,2025-04-07
35North Ventures,8.3,1,2022-01-26,Apparel & Fashion,Pre-Series A,Hyderabad,0.5,2.0,2022-01-26
Avon Cycles,8.3,1,2021-06-06,Rental,Pre-Series A,Ahmedabad,1.0,1.0,2021-06-06
Mergerdomo,8.3,1,2022-01-26,Apparel & Fashion,Pre-Series A,Hyderabad,0.5,2.0,2022-01-26
Amiya Pathak,8.3,1,2017-09-23,Consumer Internet,Private Equity,Bangalore,0.17,6.0,2017-09-23
Anurag Srivastava,8.3,1,2017-09-23,Consumer Internet,Private Equity,Bangalore,0.17,6.0,2017-09-23
Goldbell Group,8.3,1,2017-09-23,Consumer Internet,Private Equity,Bangalore,0.17,6.0,2017-09-23
Rajesh Yohaunknownn And Rahul Garg,8.3,1,2017-09-23,Consumer Internet,Private Equity,Bangalore,0.17,6.0,2017-09-23
Eunknowncity Ventures Atul Goel,8.3,1,2017-12-02,Technology,Private Equity,Bangalore,0.5,2.0,2017-12-02
Mayank Shah,8.3,1,2016-10-20,Consumer Internet,Seed,Mumbai,0.5,2.0,2016-10-20
Shreyans Shah,8.3,1,2016-10-20,Consumer Internet,Seed,Mumbai,0.5,2.0,2016-10-20
Innovaunknown Thinklabs,8.3,1,2020-10-04,Agritech,Pre-Series A,Jaipur,0.5,2.0,2020-10-04
Narendra Firodia,8.3,1,2025-02-25,Independent Verification Ecommerce,Unspecified Round,Mumbai,0.5,2.0,2025-02-25
Luke Coutinho,8.3,1,2025-02-25,Independent Verification Ecommerce,Unspecified Round,Mumbai,0.5,2.0,2025-02-25
Milliways Ventures,8.3,1,2015-08-14,Deep Learning Cloud Algorithms,Seed,Chennai,0.33,3.0,2015-08-14
Group Of Hni Investors,8.3,1,2015-09-18,Personalized Styling,Private Equity,Mumbai,1.0,1.0,2015-09-18
Shantanu Deshpande,8.3,1,2020-12-09,Crowdsourcing,Pre-Series A,Pune,0.5,2.0,2020-12-09
Kuunknownl Khattar,8.3,1,2016-08-08,Food,Seed,Mumbai,0.17,6.0,2016-08-08
Gokul Jaykrishunknown,8.3,1,2015-07-04,Custom Merchandize,Seed,Ahmedabad,0.5,2.0,2015-07-04
9 Unicorns Fund,8.3,1,2020-05-07,Ai,Pre-Series A,Mumbai,0.33,3.0,2020-05-07
Pradeep Nain,8.3,1,2025-04-11,Digital Spirituality,Pre-Series A,Delhi,1.0,1.0,2025-04-11
Concept Communications,8.3,1,2025-01-17,Deeptech Manufacturing,Pre-Series A,Chennai,0.33,3.0,2025-01-17
Vijay Sivaram,8.3,1,2020-07-26,Food,Seed,Delhi,0.2,5.0,2020-07-26
Rakesh Desai,8.3,1,2016-02-19,Ecommerce,Private Equity,Vadodara,0.14,7.0,2016-02-19
Secocha Ventures,8.3,1,2020-07-26,Food,Seed,Delhi,0.2,5.0,2020-07-26
First Cheque Vc,8.3,1,2020-07-26,Food,Seed,Delhi,0.2,5.0,2020-07-26
Andrew Johnston,8.3,1,2024-09-07,Sportstech,Seed,Pune,0.5,2.0,2024-09-07
Techstars Farm To Fork Accelerator,8.3,1,2020-01-15,Fmcg,Seed,Bangalore,0.5,2.0,2020-01-15
Sharad Hegde,8.3,1,2015-12-09,Grocery Delivery,Seed,Bangalore,0.25,4.0,2015-12-09
Abhishek Shroff,8.3,1,2021-09-15,Food,Seed,Bangalore,0.25,4.0,2021-09-15
Hrishikesh Parandekar,8.3,1,2015-12-19,Wedding Venues & Vendors,Seed,Mumbai,0.17,6.0,2015-12-19
Jinisha Sharma,8.3,1,2021-09-15,Food,Seed,Bangalore,0.25,4.0,2021-09-15
Victoria,8.3,1,2021-09-15,Food,Seed,Bangalore,0.25,4.0,2021-09-15
Eximius Ventures And Planbcapital,8.3,1,2022-04-13,Fintech,Unknown,Bangalore,1.0,1.0,2022-04-13
Bccl,8.3,1,2017-07-03,Consumer Internet,Private Equity,Mumbai,1.0,1.0,2017-07-03
Sanchi Connect,8.3,1,2025-01-17,Deeptech Manufacturing,Pre-Series A,Chennai,0.33,3.0,2025-01-17
Tac Holdings,8.3,1,2024-08-27,Esports And Gaming,Pre-Series A,Chandigarh,0.5,2.0,2024-08-27
Ng Family Trust,8.3,1,2024-08-27,Esports And Gaming,Pre-Series A,Chandigarh,0.5,2.0,2024-08-27
Vaibhav Domkundwar,8.3,1,2016-06-22,Consumer Internet,Seed,Pune,0.33,3.0,2016-06-22
Paragon Trust,8.3,1,2017-02-02,Consumer Internet,Private Equity,Delhi,0.5,2.0,2017-02-02
Iimunknowna Ventures,8.3,1,2025-04-04,Healthcare,Unspecified Round,Delhi,0.5,2.0,2025-04-04
Shrikant Patil,8.3,1,2015-12-09,Grocery Delivery,Seed,Bangalore,0.25,4.0,2015-12-09
Audacity Venture Capital,8.3,1,2025-01-10,Postproduction Saas,Pre-Seed,Mumbai,1.0,1.0,2025-01-10
Singapore,8.3,1,2018-11-06,Food,Other,Jaipur,0.5,2.0,2018-11-06
Krishunknownn Menon,8.3,1,2020-01-05,Edtech,Series A,Mumbai,0.5,2.0,2020-01-05
Chiunknownccelerator,8.3,1,2020-05-07,Ai,Pre-Series A,Mumbai,0.33,3.0,2020-05-07
Ison,8.3,1,2016-11-27,Consumer Internet,Private Equity,Delhi,0.5,2.0,2016-11-27
Nikunj Jhaveri,8.3,1,2015-06-08,Online Fashion Video Portal,Private Equity,Mumbai,0.2,5.0,2015-06-08
Amit Khanunknown,8.3,1,2016-03-12,Edtech,Private Equity,Mumbai,0.2,5.0,2016-03-12
Girish Reddy,8.3,1,2015-12-09,Grocery Delivery,Seed,Bangalore,0.25,4.0,2015-12-09
Sunil Mehta,8.3,1,2016-02-11,Technology,Seed,Mumbai,1.0,1.0,2016-02-11
Ravi Gururaj,8.3,2,2015-11-20,"Securityxc2Xa0 Testing, Mobile Growth Hackingnplatform",Seed,"Mumbai, Hyderabad",0.2,5.5,2015-11-20
Uday Chatterjee And Rajeev Sarda,8.3,1,2022-09-01,Food,Seed,Bangalore,1.0,1.0,2022-09-01
Reliance Capital Venture,8.3,1,2015-08-08,Mobile Payment Software,Private Equity,Bangalore,1.0,1.0,2015-08-08
Powerhouse Ventures (Usa).,8.3,1,2015-11-23,Hyperlocal Healthcare Product Delivery,Private Equity,Gurgaon,0.25,4.0,2015-11-23
Ventureworks India,8.3,1,2015-06-08,Online Fashion Video Portal,Private Equity,Mumbai,0.2,5.0,2015-06-08
Redbright Partners,8.3,1,2015-01-18,Other,Other,Nan,0.33,3.0,2015-01-18
Zia Mody,8.3,1,2016-02-19,Ecommerce,Private Equity,Vadodara,0.14,7.0,2016-02-19
Ultra Hnis,8.3,1,2025-01-04,Fresh Produce D2C,Pre-Seed,Bangalore,0.5,2.0,2025-01-04
Chimera,8.3,1,2025-09-18,Media & Entertainment,Seed,Gurgaon,1.0,1.0,2025-09-18
Amit Naunknownvati,8.3,1,2016-03-12,Edtech,Private Equity,Mumbai,0.2,5.0,2016-03-12
Rakesh Malhotra,8.3,1,2016-02-19,Ecommerce,Private Equity,Vadodara,0.14,7.0,2016-02-19
Omnivore Partners,8.06,1,2016-10-13,Technology,Private Equity,Chennai,1.0,1.0,2016-10-13
Fireside Ventures And Devc (Anchored By Z47),8.0,1,2024-12-19,Agritech,Pre-Series A,Mumbai,1.0,1.0,2024-12-19
Wint Wealth And Caspian,8.0,1,2024-09-22,Fintech,Debt,Bangalore,1.0,1.0,2024-09-22
Gruhas Collective Consumer Fund (Gccf),8.0,1,2024-08-18,Baby Food,Pre-Series A,Surat,1.0,1.0,2024-08-18
Yang Shu,7.99,1,2016-11-20,Ecommerce,Seed,Bangalore,0.5,2.0,2016-11-20
Aunknownnd Sankeshwar,7.99,1,2016-11-20,Ecommerce,Seed,Bangalore,0.5,2.0,2016-11-20
Rairah Corporation,7.88,1,2018-05-25,Consumer Internet,Other,Pune,1.0,1.0,2018-05-25
Anchorage Capital Partners,7.83,2,2025-06-20,"Ecommerce, Agetech","Pre-Series A, Pre-Seed","Mumbai, Bangalore",0.29,3.5,2025-06-20
Incubate Fund,7.69,1,2020-07-27,Healthcare,Seed,Bangalore,1.0,1.0,2020-07-27
Pravek Family Office,7.6,1,2025-07-28,Ecommerce,Pre-Series A,Delhi,1.0,1.0,2025-07-28
Goel Family Office,7.6,1,2022-04-22,Publishing,Seed,Bangalore,1.0,1.0,2022-04-22
Gsf And Other Angel Investors,7.47,1,2015-04-09,Interactivexc2Xa0 Howto Guides,Seed,Bangalore,0.33,3.0,2015-04-09
Chiratae Ventures.,7.47,1,2020-01-04,Wl & Rac Protection,Seed,Mumbai,1.0,1.0,2020-01-04
Reliance Capital,7.47,1,2015-09-25,Luxury Goodsxc2Xa0 Shopping,Private Equity,Gurgaon,1.0,1.0,2015-09-25
Helion Venture Partner,7.47,1,2015-04-09,Interactivexc2Xa0 Howto Guides,Seed,Bangalore,0.33,3.0,2015-04-09
Prajay Advisors Llp,7.4,2,2024-11-18,"Gut Wellness, Healthcare","Unspecified Round, Seed","Gurgaon, Lucknow",0.75,1.5,2024-11-18
Cricketer Rishabh Pant,7.4,1,2024-09-10,Software,Acquisition,Nan,1.0,1.0,2024-09-10
Firstcheque,7.39,3,2020-11-27,"Other, Media, Gaming","Unknown, Pre-Seed","Gurgaon, Hyderabad, Mumbai",0.24,4.67,2020-11-27
Paul Roy,7.39,1,2016-08-24,Consumer Internet,Seed,Mumbai,1.0,1.0,2016-08-24
Balancehero,7.36,1,2020-08-04,Fintech,Series C,Gurgaon,1.0,1.0,2020-08-04
Point One Capital,7.32,2,2024-12-16,"Fintech, Technology",Pre-Seed,"Nan, Bangalore",0.29,3.5,2024-12-16
Intellecap Impact Investment Network,7.14,2,2015-08-22,"Crowd Funding, Waste Management",Seed,Mumbai,0.31,5.0,2015-08-22
Elcid Investments,7.11,1,2025-07-11,Consumer,Unknown,Bangalore,1.0,1.0,2025-07-11
Narottam Thudi,7.05,1,2017-08-26,Consumer Internet,Seed,Hyderabad,0.5,2.0,2017-08-26
Shireesh Palle,7.05,1,2017-08-26,Consumer Internet,Seed,Hyderabad,0.5,2.0,2017-08-26
Sirounknown,7.0,1,2025-03-24,D2C Nutrition,Pre-Seed,Gurgaon,1.0,1.0,2025-03-24
Venk Krishunknownn,6.97,2,2016-12-28,"Consumer Internet, Online Counselling And Psychological Support",Seed,"Bangalore, Gwalior",0.15,6.5,2016-12-28
Karsemven Fund,6.85,1,2015-01-28,Other,Private Equity,Nan,1.0,1.0,2015-01-28
K2 Capital,6.85,1,2017-01-21,Technology,Seed,Panaji,1.0,1.0,2017-01-21
Sumit Jain,6.81,2,2016-05-04,"Other, Consumer Internet","Other, Seed","Nan, Bangalore",0.25,4.5,2016-05-04
Abhishek Gupta (Fashinza),6.75,1,2025-02-01,Digital Pediatric Care,Seed,Delhi,0.17,6.0,2025-02-01
Dhruv Dhanraj Bahl (Exunknownbharatpe),6.75,1,2025-02-01,Digital Pediatric Care,Seed,Delhi,0.17,6.0,2025-02-01
