Company_Cleaned,Total_Funding,Max_Funding,Num_Rounds,Sector,Location,Rounds,Years,Investors,Last_Year
bombay play,20.75,12.45,2,Gaming,Bangalore,"Seed, Pre-Series A",2020,"Ramakant Sharma, Leo Capital India, Leo Capital, Ramakant Sharma",2020
fyn mobility,20.75,20.75,1,Evaas,Chennai,Unspecified Round,2025,"Vijay Kedia, Lloyd Balajadia, Rahul Bothra",2025
kinsane entertainment,20.75,20.75,1,Entertainment,Mumbai,Other,2018,Unknown,2018
koovers,20.75,20.75,1,Autonomous Vehicle,Bangalore,Seed,2022,Canbank Venture Capital Fund And Jpin,2022
lighthouse proptech,20.75,20.75,1,Proptech,Mumbai,Unspecified Round,2025,Turbostart,2025
freadom,20.75,20.75,1,Edtech,Gurgaon,Unknown,2022,"Tiger Shroff, Ashneer Grover",2022
flatchat,20.75,20.75,1,Flat Rental Mobile,Bangalore,Private Equity,2015,Commonfloor,2015
digantara,20.75,20.75,1,Spacetech,Bangalore,Seed,2021,Kalaari Capital,2021
chargeup,20.75,20.75,1,Renewables & Environment,Delhi,Pre-Series A,2022,"Capital A, Anicut Capital",2022
finodaya capital,20.75,20.75,1,Nonbanking Financial,Indore,Seed,2025,White Venture Capital,2025
customfurnishcom,20.75,20.75,1,Other,Unknown,Private Equity,2015,"Madhukar Gangadi, Satish Reddy, Srini Raju, Srini Koppolu, Sidbi",2015
agara labs,20.75,20.75,1,Deeptech,Bangalore,Pre-Series A,2019,Blume Ventures And Rtp Global,2019
grabhousecom,20.75,20.75,1,Other,Unknown,Private Equity,2015,"Kalaari Capital, Sequoia Capital",2015
doctor insta,20.75,16.6,2,Consumer Internet,Gurgaon,Private Equity,"2015, 2016","Roundglass Partners, Rishi Parti, Brahmax Ventures",2016
codekarma,20.75,20.75,1,AI,Bangalore,Pre-Seed,2025,"Prosus, Accel, Xeed Ventures",2025
juleo,20.75,20.75,1,Dating,Delhi,Unspecified Round,2024,"Ramakant Sharma, Kuunknownl Shah, Ruchi Deepak, Harsh Jain, Lalit Keshre",2024
atlan,20.75,20.75,1,Information Technology,Singapore,Pre-Series A,2019,Waterbridge Ventures,2019
hudle,20.75,20.75,1,Enterprise,Delhi,Series A,2025,Sky Impact Capital,2025
illumine,20.75,20.75,1,Enterprise,Chennai,Seed,2025,Prime Venture Partners,2025
decharge,20.75,20.75,1,Ev Charging,Hyderabad,Seed,2025,Lemniscap,2025
goodgamer,20.75,20.75,1,Gaming,Bangalore,Seed,2020,Unknown,2020
fr8,20.509999999999998,12.45,2,Technology,Chennai,"Debt, Private Equity","2016, 2017","Ifmr Capital, Omnivore Partners",2017
99 pancakes,20.0,20.0,1,Quick Restaurants,Mumbai,Series A,2024,Family Office,2024
tyreplex,20.0,20.0,1,B2B Tyre,Delhi,Unspecified Round,2025,"Peercapital, Titan Capital Winners Fund, Sattva Family Office, Others",2025
zerocircle,20.0,20.0,1,Biotech Seaweed Alternatives,Pune,Unspecified Round,2025,"Rainmatter, 1Crowd, Vc Grid, 7Th Gen Ventures, Trudie Styler",2025
neuron energy,20.0,20.0,1,Ev Batteries,Mumbai,Series A,2024,"Chounknown Family, Capri Global Family Office",2024
tan90,20.0,20.0,1,Deeptech,Chennai,Series A,2025,Nabventures,2025
troovy,20.0,20.0,1,Kidsfocused Nutrition Food,Gurgaon,Pre-Series A,2025,Fireside Ventures,2025
prym aerospace,20.0,20.0,1,High > Drones,Maharashtra,Seed,2025,Lloyds Steel,2025
centa,20.0,20.0,1,Edtech,Bangalore,Series A,2025,Colossa Ventures,2025
vidooly,19.92,11.62,2,Consumer Internet,Noida,Private Equity,"2015, 2017","Times Internet, Gvfl, Bessemer Venture Partners",2017
imagimake,19.92,15.77,2,Innovation Management,Mumbai,"Pre-Series A, Series B","2021, 2025","Roha Investment Maunknowngers, Angel Investor Saumil Shah, Pidilite Ventures",2025
parkmate,19.92,9.96,2,Road Transport,Uttar Pradesh,"Pre-Series A, Unspecified Round","2024, 2025","Cactus Partners (Cpl), Cactus Partners, Venture Catalysts, Marwah Group Family Office",2025
renkube,19.92,19.92,1,Solar,Bangalore,Seed,2022,K4 Forum Mumbai Network And Halliburton Labs,2022
truehb,19.92,19.92,1,Medical Instruments,Delhi,Seed,2015,"Sachin And Binny Bansal, Malvinder And Shivinder Singh, Gurpreet Singh, Others",2015
zeelab pharmacy,19.92,19.92,1,Healthcare,Delhi,Initial Funding,2025,Otp Ventures,2025
pragmatix,19.92,19.92,1,Business Intelligence & Analytics,Mumbai,Private Equity,2015,Sidbi Venture Capital Ltd,2015
digilogic systems,19.92,19.92,1,Aerospace,Hyderabad,Other,2024,Negen Capital,2024
zimmber,19.92,16.6,2,Hyperlocal Handyman,Mumbai,"Private Equity, Seed",2015,"Idg Ventures India, Omidyar Network, Sherpalo Ventures, \\Xc2\\Xa0 Mohandas Pai, Naveen Tiwari, Mohit Saxeunknown, Amit Gupta, Piyush Shah, Manish Dugar",2015
koparo,19.919999999999998,14.11,2,Consumer Goods,Delhi,"Seed, Pre-Series A","2021, 2025","Saama Capital﻿, ﻿Titan Capital﻿, Dsg Consumer Partners, Saama Capital",2025
vtion,19.75,17.43,2,Technology,Gurgaon,"Other, Seed","2018, 2022","Angellist, Rahul Khanunknown, Rajeev Arora And Ram Ramsundar., Yournest Venture Capital And Netcore Cloud",2022
mobiefit,19.51,11.21,2,Healthcare,Goa,"Other, Private Equity","2015, 2017","Nb Ventures, Mediassist, Medi Assist",2017
swara fincare,19.4,19.4,1,Fintech,Delhi,Series A,2024,Serica Angel Fund And Uc Impower,2024
room on call,19.090000000000003,16.6,2,Consumer Internet,Gurgaon,"Private Equity, Seed","2015, 2016","Cashurdrive Marketing Pvt Ltd, Payal Syal",2016
flick tv,19.09,19.09,1,Ott,Noida,Seed,2025,Stellaris Venture Partners,2025
retainiq,19.09,19.09,1,Ecommerce,Bangalore,Seed,2022,Accel,2022
cashbook,19.09,19.09,1,Fintech,Gurgaon,Seed,2021,"Jam, Better Tomorrow Ventures",2021
finzy,19.09,10.79,2,Fintech,Bangalore,Other,2018,Unknown,2018
nothing before coffee,19.09,19.09,1,Qsr Coffee,Jaipur,Pre-Series A,2025,Prath Ventures,2025
phononic vibes,19.09,19.09,1,Deeptech,Milano,Unknown,2020,Unknown,2020
expertrons,19.09,19.09,1,Edtech,Mumbai,Unknown,2021,"Venture Catalysts, Auxano Capital, Venture Garage, Yoga Capital, Ah!Ventures, Lead Angels",2021
connectedh,19.09,19.09,1,Hospital & Health Care,Gurgaon,Seed,2021,"Kalaari Capital, Incubate Fund India",2021
ibus networks,19.09,19.09,1,Technology,Bangalore,Private Equity,2016,"Vallabh Bhanshali, N Squared Maunknowngement Llc, Jagdish, Sandeep Mehta Family Office",2016
cimware,19.09,19.09,1,Advanced Hardware & Technology,Bangalore,Pre-Series A,2025,Transition Vc,2025
xbattery,19.09,19.09,1,Clean,Hyderabad,Seed,2025,Bipin Patel Family Office,2025
frontier markets,18.68,18.68,1,Ecommerce,Jaipur,Pre-Series A,2020,"Engie Rassembleurs D'Energies, The Rise Fund, And The Singh Family Trusts, Teja Ventures, Beyond Capital Fund.",2020
fabogo,18.68,18.68,1,Consumer Internet,Pune,Private Equity,2017,Duunknownmis Ventures Pte Ltd,2017
altiushub,18.68,18.68,1,Manufacturing Supply,Unknown,Seed,2024,Endiya Partners,2024
juggernaut,18.68,18.68,1,Digital & Physical Publishing,Delhi,Private Equity,2015,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",2015
figr,18.68,18.68,1,Product Design,Bangalore,Series A,2024,"Antler, Golden Sparrow, Individual Investors, And Kalaari Capital",2024
loan frame,18.68,18.68,1,Consumer Internet,Gurgaon,Private Equity,2017,"Vedanta Capital, William Campbell, Toos N Daruvala",2017
instasafe,18.26,18.26,1,Technology,Bangalore,Private Equity,2017,Abm Knowledgeware,2017
aurva,18.26,18.26,1,Enterprise,Delhi,Seed,2025,Nexus Venture Partners,2025
bellatrix aerospace,18.26,9.13,2,Aerospace Manufacturing,Coimbatore,"Series A, Unknown",2022,Survam Partners And Inflexor Ventures,2022
ans commerce,18.26,18.26,1,Ecommerce,Gurgaon,Pre-Series A,2021,"Gokul Rajaram, Venture Catalysts",2021
travclan,18.26,18.26,1,B2B Travel,Delhi,Pre-Series A,2021,Theventures,2021
pressplay,18.26,18.26,1,Travel Entertainment,Delhi,Seed,2015,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, And Amit Bhatiani",2015
careerlabs,18.26,18.26,1,Edtech,Bangalore,Unknown,2021,Global Founders Capital,2021
