Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors,Year,Month
Inthree,Consumer Internet,Chennai,"40,00,000",Seed/ Angel Funding,"Ventureast, Orios Venture Partners and the IAN Fund",2018,August
Observe AI,Technology,Bengaluru,"80,00,000",Private Equity,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",2018,August
Enakshi,Consumer Internet,Ahemadabad,"1,14,811",Seed/ Angel Funding,,2018,August
EazyDiner,Consumer Internet,Gurugram,"58,50,000",Private Equity,Denlow Investment Trust and Beenext,2018,August
Finzy,Finance,Bengaluru,"10,00,000",Seed / Angel Funding,,2018,August
RawPressery,Consumer Internet,Mumbai,"48,00,000",Debt Funding,Alteria Capital,2018,August
Pi Ventures,Technology,Bengaluru,"60,00,000",Private Equity,CDC Group plc\\xc2\\xa0,2018,August
Revv,Consumer Internet,Gurugram,"1,42,70,000",Private Equity,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",2018,August
ZestMoney,Consumer Internet,Bengaluru,"1,34,00,000",Private Equity,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",2018,August
Shubh Loans,Fin-Tech,Bengaluru,"42,00,000",Private Equity,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",2018,August
MyUpchar,Healthcare,Delhi,"50,00,000",Private Equity,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",2018,August
Narvar,IT,Bengaluru,"30,00,000",Private Equity,Accel (formerly known as Accel Partners),2018,August
True North,Finance,Mumbai,"60,00,00,000",Private Equity,,2018,August
Leena AI,Technology,Gurugram,,Seed/ Angel Funding,Y Combinator,2018,July
Biryani By Kilo,Consumer Internet,Gurugram,"10,00,000",Seed/ Angel Funding,Ajay Relan and Vinay Mittal,2018,July
Anchanto,IT,Pune,"40,00,000",Private Equity,MDI Ventures & Telkom Indonesia,2018,July
PolicyBazaar,Consumer Internet,Gurugram,"2,77,00,000",Private Equity,Info Edge (India) Ltd and Temasek,2018,July
zippserv,Consumer Internet,Bengaluru,"4,40,000",Seed/ Angel Funding,Info Edge (India) Ltd,2018,July
Groww,Consumer Internet,Bengaluru,"11,00,000",Seed/ Angel Funding,"Insignia Ventures Partners, Lightbridge Partners & Kairos",2018,July
Avenue Growth,Consumer Internet,Gurugram,"4,37,000",Seed/ Angel Funding,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",2018,July
iNICU,Healthcare,Delhi,,Seed/ Angel Funding,Venture Catalysts,2018,July
Kinara Capital,Finance,Bengaluru,"50,00,000",Private Equity,ResponsAbility,2018,July
Shop 101,Consumer Internet,Mumbai,"50,00,000",Private Equity,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",2018,July
Sambandh,Consumer Internet,Rourkela,"25,00,000",Private Equity,Base of Pyramid Asia (BOPA) Pte Ltd,2018,July
19th mile,IT,Gurugram,"1,80,000",Seed/ Angel Funding,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",2018,July
5th Vital,Healthcare,Bengaluru,"5,00,000",Seed/ Angel Funding,Brand Capital and Others,2018,July
MEngage,Healthcare,Jaipur,"1,75,000",Seed/ Angel Funding,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",2018,July
Ofbusiness,Finance,Gurugram,"2,90,00,000",Private Equity,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",2018,July
Cars24,Consumer Internet,Gurugram,"4,97,00,000",Private Equity,"Kingsway FCI Fund, KCK Global & Others",2018,July
The Ken,Consumer Internet,Bengaluru,"15,00,000",Seed/ Angel Funding,Omidyar Network & Others,2018,July
Book My Show,Consumer Internet,Mumbai,"10,00,00,000",Private Equity,"TPG Growth, The Rise Fund & Others",2018,July
HousingMan,Consumer Internet,Bengaluru,"15,00,000",Seed/ Angel Funding,,2018,July
PaySense,Consumer Internet,Mumbai,"1,80,00,000",Private Equity,PayU & Others,2018,July
Yulu Bikes,Technology,Bengaluru,,Seed/ Angel Funding,,2018,July
VTION,Technology,Gurugram,"2,80,000",Seed/ Angel Funding,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",2018,July
Log9 Materials,Technology,Bengaluru,"4,36,000",Seed/ Angel Funding,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",2018,July
kidovators,Ed-Tech,Bengaluru,"1,80,000",Seed/ Angel Funding,Gray Matters,2018,July
Digit,Consumer Internet,Pune,"4,50,00,000",Private Equity,Fairfax,2018,July
Black Soil,Finance,Mumbai,"1,70,00,000",Private Equity,"Allcargo Logistics, Navneet Education and Mahavir Agency",2018,July
Trell,Consumer Internet,Bengaluru,"12,50,000",Seed/ Angel Funding,"BeeNext , WEH Ventures and Sprout Ventures",2018,July
iqlect,Technology,Bengaluru,"25,00,000",Seed/ Angel Funding,Ventureast and Exfinity,2018,July
Entropik,IT,Bengaluru,"11,00,000",Seed/ Angel Funding,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",2018,July
Bitla Software,Technology,Bengaluru,,Private Equity,MakeMyTrip,2018,July
TheCapitalNet,Fin-Tech,Hyderabad,"5,00,000",Private Equity,Lindwall Family Investments LLC (LFI),2018,July
Shuttl,Consumer Internet,Gurugram,"1,10,00,000",Private Equity,Amazon Alexa Fund & Dentsu Ventures,2018,July
Cure Fit,Consumer Internet,Bengaluru,"12,00,00,000",Private Equity,"IDG Ventures, Accel Partners, Kalaari Capital and Others",2018,July
Five Star Group,Fin-Tech,Chennai,"10,00,00,000",Private Equity,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",2018,July
Healthsignz,Healthcare,Hyderabad,"50,00,000",Seed/ Angel Funding,Kantilal Patel,2018,July
CoinTribe,Finance,Gurugram,"1,00,00,000",Private Equity,"Sabre Partners, Puneet Dalmia & Others",2018,June
Digiconectt,Technology,Bengaluru,"1,25,000",Seed/ Angel Funding,Aspire Logistics LLC,2018,June
Kashmir Box,E-Commerce,Srinagar,,Seed/ Angel Funding,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",2018,June
Crowdera,Finance,Nagpur,,Seed/ Angel Funding,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",2018,June
Zoctr,Healthcare,Mumbai,,Seed/ Angel Funding,NB Ventures and Others,2018,June
Annapurna Finance,Finance,Bhubneswar,"2,30,00,000",Private Equity,Oman India Joint Investment Fund (OIJIF),2018,June
Meesho,Consumer Internet,Bengaluru,"1,15,00,000",Private Equity,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",2018,June
AyeFinance,Finance,Gurugram,"2,15,00,000",Private Equity,"CapitalG, SAIF Partners and LGT Impact Ventures",2018,June
Theranosis,Healthcare,Hyderabad,,Seed/ Angel Funding,Mumbai Angels Network,2018,June
Alpha Capital,Finance,Mumbai,"1,48,00,000",Private Equity,Alpha Capital,2018,June
eshakti,E-Commerce,Chennai,"1,01,00,000",Private Equity,Paragon Partners,2018,June
