Company_Cleaned,Sector,Headquarters,Amount_Cr,Funding_Round_Type,Lead_Investors,Year,Month,Month_Num,Date
finarkein analytics,Fintech,Maharashtra,41.5,Seed,Dsp Group Family Office,2025,October,10,2025-10-01
prym aerospace,High > Drones,Maharashtra,20.0,Seed,Lloyds Steel,2025,October,10,2025-10-01
ecoex,Environment > Solid Waste Management,Delhi,33.2,Seed,Unknown,2025,October,10,2025-10-01
navata supply chain,Business > Supply,Telangana,12.62,Series A,Abyro Capital,2025,October,10,2025-10-01
altmat,High > Advanced Materials,Gujarat,12.616,Seed,Rainmatter,2025,October,10,2025-10-01
exsure,Life Sciences > Oncology,Odisha,0.09,Seed,Aicunknownnalanda Institute Of Technology Foundation,2025,October,10,2025-10-01
decortwist,Consumer Goods > Home Furnishing Products,Uttar Pradesh,1.66,Seed,Tejas Paresh Lodaya,2025,October,10,2025-10-01
greylabs,High > Natural Language Processing,Maharashtra,79.68,Series A,Elevation Capital,2025,October,10,2025-10-01
raise,Fintech,Maharashtra,996.0,Series B,Beenext,2025,October,10,2025-10-01
jsw one msme,Enterprise Applications > Manufacturing,Maharashtra,219.95,Series B,Oneup Fiunknownncial Consultants,2025,October,10,2025-10-01
thrustworks dynetics,Aerospace Maritime & Defense > Space,Maharashtra,6.55,Seed,Jamwant Ventures,2025,October,10,2025-10-01
art of time,Consumer Goods > Retailers,Maharashtra,6.5487,Series B,Plutus Wealth Maunknowngement,2025,October,10,2025-10-01
freight tiger,Logistics,Maharashtra,112.05,Series C,Tata Motors / Lightspeed India,2025,October,10,2025-10-01
recyclarocom,Environment > Solid Waste Management,Uttar Pradesh,8.3,Seed,Capitaloven,2025,October,10,2025-10-01
growxcd,Fintech,Tamil Nadu,186.75,Series B,Blue Earth Capital / Lok Capital,2025,October,10,2025-10-01
assesslim,High > Ai Infrastructure,West Bengal,41.5,Seed,Foxhog Ventures / Ideas Tih,2025,October,10,2025-10-01
unmannd,Aerospace Maritime And Defense > Military,Karnataka,16.6,Seed,Speciale Invest,2025,October,10,2025-10-01
vamam,Consumer > Local,Delhi,20.75,Seed,Wavemaker Partners / 7Square Ventures,2025,October,10,2025-10-01
climaty ai,Enterprise Applications > Adtech,Dubai,16.6,Seed,Turbostart,2025,October,10,2025-10-01
ignosis,Fintech,Gujarat,33.2,Seed,Peak Xv Partners,2025,October,10,2025-10-01
fyno,Enterprise Applications > Customer Success Management,Karnataka,33.2,Seed,Arkam Ventures / 3One4 Capital,2025,October,10,2025-10-01
recur club,Fintech,Delhi,348.6,Debt,Incred / Info Edge Ventures,2025,October,10,2025-10-01
recur club,Fintech,Delhi,66.4,Series A,Info Edge Ventures,2025,October,10,2025-10-01
wit and chai,Business > Marketing,Maharashtra,66.4,Seed,Sanjay Katkar,2025,October,10,2025-10-01
hocco,Food,Gujarat,107.9,Series B,Sauce,2025,October,10,2025-10-01
petpoojam,Food,Gujarat,107.9,Series C,Dharaunknown / Gujarat Venture Fiunknownnce,2025,October,10,2025-10-01
kapivas,Life Sciences > Nutraceuticals,Karnataka,232.4,Series D,Vertex Growth / Jetty Ventures,2025,October,10,2025-10-01
vaani research labs,High > Chatbots,Karnataka,3.32,Seed,Venture Catalysts,2025,October,10,2025-10-01
ef polymer,Chemicals And Materials > Polymers,Rajasthan,3.32,Series B,Toyoda Gosei / Beyond Next Ventures,2025,October,10,2025-10-01
rugr,Fintech,Karnataka,41.5,Seed,Vikasa India Eif Fund,2025,October,10,2025-10-01
igowise,Energy > Electric Vehicles,Karnataka,41.5,Unknown,Unknown,2025,October,10,2025-10-01
pharmeasy,Healthcare,Mumbai,1591.11,Debt,Unknown,2025,September,9,2025-09-01
emergent,AI,Gurgaon,190.9,Series A,Lightspeed Ventures,2025,September,9,2025-09-01
chakr innovation,Clean,Gurgaon,190.9,Series C,Iron Pillar,2025,September,9,2025-09-01
curefoods,Food,Bangalore,149.4,Unknown,3State Ventures,2025,September,9,2025-09-01
handpickd,Consumer,Gurgaon,124.5,Series A,Bertelsmann India Investments,2025,September,9,2025-09-01
rocket,AI,Bangalore,124.5,Seed,"Salesforce Ventures, Accel",2025,September,9,2025-09-01
vedantu,Edtech,Bangalore,91.3,Unknown,Unknown,2025,September,9,2025-09-01
simple energy,Clean,Bangalore,83.0,Unknown,"Dr Arokiaswamy Velumani (Founder, Thyrocare)",2025,September,9,2025-09-01
kisankonnect,Agritech,Ahmednagar,67.23,Pre-Series A,Bajaj Finserv Group,2025,September,9,2025-09-01
distil,Ecommerce,Mumbai,63.91,Series A,"Jungle Ventures, Ceunknownventures",2025,September,9,2025-09-01
gullak,Fintech,Bangalore,62.25,Series A,Chiratae Ventures,2025,September,9,2025-09-01
oolka,Fintech,Bangalore,58.1,Seed,"Lightspeed India, Z47",2025,September,9,2025-09-01
prism,Travel,Mumbai,46.48,Unknown,"Incred, Aunknownlah Capital",2025,September,9,2025-09-01
onfinance,AI,Bangalore,34.86,Pre-Series A,Peak Xv (Surge),2025,September,9,2025-09-01
amwoodo,Ecommerce,Kolkata,33.2,Pre-Series A,Rainmatter,2025,September,9,2025-09-01
cosmoserve space,Advanced Hardware & Technology,Hyderabad,26.56,Pre-Seed,Avcf,2025,September,9,2025-09-01
ptal,Ecommerce,Delhi,24.9,Series A,"Venture Catalysts, Rainmatter",2025,September,9,2025-09-01
xbattery,Clean,Hyderabad,19.09,Seed,Bipin Patel Family Office,2025,September,9,2025-09-01
grest,Ecommerce,Cuttack,14.94,Unknown,Equentis,2025,September,9,2025-09-01
vyomic,Advanced Hardware & Technology,Bangalore,13.28,Pre-Seed,Speciale Invest,2025,September,9,2025-09-01
akashalabdhi,Advanced Hardware & Technology,Roorkee,9.96,Pre-Seed,Unknown,2025,September,9,2025-09-01
navo,Ecommerce,Gurgaon,7.49,Seed,Indiaquotient,2025,September,9,2025-09-01
bharat intelligence,Agritech,Mumbai,6.56,Pre-Seed,Sahyadri Farms,2025,September,9,2025-09-01
recove,Clean,Bangalore,4.96,Unknown,Momentum Capital,2025,September,9,2025-09-01
paar autonomy,Advanced Hardware & Technology,Bangalore,4.15,Seed,Venture Catalysts,2025,September,9,2025-09-01
samaaro,Enterprise,Bangalore,4.15,Pre-Series A,Inflection Point Ventures,2025,September,9,2025-09-01
gaadimech,Consumer,Jaipur,1.4,Unknown,Ajvc,2025,September,9,2025-09-01
gabit,Ecommerce,Gurgaon,1.4027,Unknown,Unknown,2025,September,9,2025-09-01
inframarket,Real Estate,Thane,688.9,Series G,Unknown,2025,September,9,2025-09-01
evoluteiq,Enterprise,Bangalore,439.9,Unknown,Baird Capital,2025,September,9,2025-09-01
finbox,Fintech,Bangalore,332.0,Series B,Westbridge Capital,2025,September,9,2025-09-01
blue energy motors,Clean,Pune,249.0,Unknown,"Nikhil Kamath, Omnitex Industries",2025,September,9,2025-09-01
incred money,Fintech,Mumbai,249.0,Unknown,Unknown,2025,September,9,2025-09-01
ecosoul,Ecommerce,Noida,166.0,Series B,"Accel, Bajaj Fiunknownncial Securities",2025,September,9,2025-09-01
indkal,Ecommerce,Bangalore,166.0,Unknown,Unknown,2025,September,9,2025-09-01
scalekit,AI,Bangalore,45.65,Seed,"Together Fund, Z47",2025,September,9,2025-09-01
lucira,Ecommerce,Mumbai,45.65,Seed,Blume Ventures,2025,September,9,2025-09-01
spacefields,Advanced Hardware & Technology,Bangalore,41.5,Pre-Series A,Globaz Technologies,2025,September,9,2025-09-01
pelocal,Fintech,Chennai,41.5,Series A,"Unleash Capital Partners, Unicorn India Ventures",2025,September,9,2025-09-01
ido devices,Ecommerce,Noida,33.2,Unknown,"Blume Ventures, Merak Ventures",2025,September,9,2025-09-01
pascal ai labs,AI,Bangalore,25.73,Seed,Kalaari Capital,2025,September,9,2025-09-01
equilibrium,Clean,Noida,24.9,Seed,Unknown,2025,September,9,2025-09-01
includ,Ecommerce,Gurgaon,24.07,Pre-Series A,3One4 Capital,2025,September,9,2025-09-01
blinkitai,AI,Gurgaon,9.96,Seed,Foliflex Cables,2025,September,9,2025-09-01
supply6,Ecommerce,Bangalore,9.13,Seed,Zeropearl Vc,2025,September,9,2025-09-01
ugxai,AI,Gurgaon,8.3,Seed,Blue Ocean Venture Partners,2025,September,9,2025-09-01
playsuper,Media & Entertainment,Gurgaon,8.3,Seed,Chimera,2025,September,9,2025-09-01
wankel energy systems,Clean,Chennai,8.3,Pre-Seed,Shastra Vc,2025,September,9,2025-09-01
mynaksh,Consumer,Bangalore,7.07,Pre-Seed,Eximius Ventures,2025,September,9,2025-09-01
uknowva,Enterprise,Mumbai,4.15,Pre-Series A,Unknown,2025,September,9,2025-09-01
rapteehv,Clean,Chennai,4.15,Unknown,"Technology Development Board (Ministry Of Science, Technology)",2025,September,9,2025-09-01
flipspaces,Real Estate,Mumbai,74.7,Series C,Unknown,2025,September,9,2025-09-01
indrajaal,Advanced Hardware & Technology,Hyderabad,45.65,Pre-Series A,"India Accelerator, Finvolve",2025,September,9,2025-09-01
presolv360,Enterprise,Mumbai,39.01,Series A,"Elevation Capital, Mga Ventures",2025,September,9,2025-09-01
indigrid technology,Enterprise,Gurgaon,33.2,Unknown,Cactus Partners,2025,September,9,2025-09-01
ember,Ecommerce,Us,26.56,Seed,Unknown,2025,September,9,2025-09-01
asaya,Ecommerce,Bangalore,26.56,Pre-Series A,Rpsg Capital,2025,September,9,2025-09-01
inamo,Enterprise,Mumbai,24.9,Seed,Shastra Vc,2025,September,9,2025-09-01
wehouse,Real Estate,Hyderabad,23.24,Series A,Unknown,2025,September,9,2025-09-01
endureair systems,Advanced Hardware & Technology,Noida,23.24,Unknown,Indian Angel Network,2025,September,9,2025-09-01
snapecabs,Travel,Kolkata,20.75,Unknown,Inflection Point Ventures,2025,September,9,2025-09-01
aurva,Enterprise,Delhi,18.26,Seed,Nexus Venture Partners,2025,September,9,2025-09-01
bacalt biosciences,Healthcare,Bangalore,16.6,Pre-Seed,Avaaunknown Capital,2025,September,9,2025-09-01
peakamp,Clean,Gurgaon,11.62,Seed,Caret Capital,2025,September,9,2025-09-01
farmdidi,Ecommerce,Mumbai,6.58,Seed,Samved Ventures,2025,September,9,2025-09-01
prowrrap,Enterprise,Delhi,3.76,Pre-Series A,"Calance Software; Amit Govil (Chairman, Calance Corporation)",2025,September,9,2025-09-01
biokraft foods,Clean,Mumbai,1.88,Seed,Gvfl,2025,September,9,2025-09-01
misfits,Ecommerce,Gurgaon,1.8841,Seed,Nu Ventures,2025,September,9,2025-09-01
citymall,Ecommerce,Gurgaon,390.1,Series D,Accel,2025,September,9,2025-09-01
seekho,Media & Entertainment,Bangalore,232.4,Series B,Bessemer Venture Partners,2025,September,9,2025-09-01
blue tokai coffee roasters,Ecommerce,Gurgaon,207.5,Unknown,Unknown,2025,September,9,2025-09-01
firstclub,Consumer,Bangalore,190.9,Series A,"Accel, Rtp Global",2025,September,9,2025-09-01
colive,Real Estate,Bangalore,166.0,Series B,Bain Capital,2025,September,9,2025-09-01
offgrid energy,Clean,Gurgaon,124.5,Series A,Archean Chemicals Industries,2025,September,9,2025-09-01
reveal healthtech,AI,Us,59.76,Series A,Leo Capital,2025,September,9,2025-09-01
platinumrx,Healthcare,Bangalore,49.8,Series A,Stellaris Venture Partners,2025,September,9,2025-09-01
leafybus,Travel,Delhi,34.03,Pre-Series A,Enetra India,2025,September,9,2025-09-01
tuco kids,Ecommerce,Bangalore,33.2,Series A,Rtp Global,2025,September,9,2025-09-01
flexifyme,Healthcare,Pune,19.09,Pre-Series A,Ivycap Ventures,2025,September,9,2025-09-01
autodukan,Ecommerce,Pune,8.3,Pre-Series A,Unknown,2025,September,9,2025-09-01
house of zelena,Ecommerce,Delhi,6.58,Seed,"Sprout Venture Partners, M Venture Partners",2025,September,9,2025-09-01
cuzor,Ecommerce,Bangalore,4.7,Seed,"Ramesh Kanunknownn (Md, Kaynes Technology)",2025,September,9,2025-09-01
rxmen,Healthcare,Delhi,4.7,Seed,Inflection Point Ventures,2025,September,9,2025-09-01
quante energy,Clean,Noida,4.15,Seed,Trillion Dollar Venture Partners,2025,September,9,2025-09-01
dectrocel,Healthcare,Lucknow,3.76,Unknown,Bioangels (Ian Group),2025,September,9,2025-09-01
zanskar,Ecommerce,Bangalore,2.63,Seed,Zeropearl Vc,2025,September,9,2025-09-01
waterscience,Ecommerce,Bangalore,1.32,Unknown,Valar Ventures,2025,September,9,2025-09-01
edgehax,Advanced Hardware & Technology,Bangalore,1.31,Seed,Inflection Point Ventures,2025,September,9,2025-09-01
transbnk,Fintech,Mumbai,207.5,Series B,Bessemer Venture Partners,2025,August,8,2025-08-01
altum credo,Fintech,Pune,161.02,Unknown,British Interunknowntiounknownl Investment,2025,August,8,2025-08-01
credright,Fintech,Bangalore,83.0,Series B,Abler Nordic,2025,August,8,2025-08-01
wizcommerce,Enteprise,Bangalore,66.4,Series A,Peak Xv Partners,2025,August,8,2025-08-01
vutto,Ecommerce,Bangalore,58.1,Series A,Rtp Global,2025,August,8,2025-08-01
palmonas,Ecommerce,Pune,51.46,Series A,"Vertex Ventures Southeast Asia, India",2025,August,8,2025-08-01
enmovil,Logistics,Hyderabad,49.8,Series A,Sorin Investments,2025,August,8,2025-08-01
peeko,Consumer,Bangalore,26.56,Seed,Stellaris Venture Partners,2025,August,8,2025-08-01
matiks,Media & Entertainment,Haveri,25.73,Pre-Series A,Tanglin Ventures,2025,August,8,2025-08-01
wastelink,Cleantech,Delhi,24.9,Series A,Avaaunknown Capital,2025,August,8,2025-08-01
harajuku tokyo cafe,Fooddtech,Delhi,16.6,Seed,Indian Angel Network,2025,August,8,2025-08-01
cumin,Ecommerce,Gurgaon,12.45,Unknown,Fireside Ventures,2025,August,8,2025-08-01
anmasa,Ecommerce,Gurgaon,9.13,Pre-Seed,Unknown,2025,August,8,2025-08-01
nugen,AI,Ahmedabad,8.3,Pre-Seed,Antler,2025,August,8,2025-08-01
vaave,Enteprise,Hyderabad,6.21,Unknown,Vcmint,2025,August,8,2025-08-01
hexafun,Ecommerce,Delhi,4.23,Seed,Prajay Advisors,2025,August,8,2025-08-01
nuyug,Ecommerce,Delhi,2.35,Pre-Seed,Ajvc,2025,August,8,2025-08-01
bhaobhao,Consumer,Mumbai,1.66,Unknown,Unknown,2025,August,8,2025-08-01
r for rabbit,Ecommerce,Ahmedabad,224.1,Series B,"Filter Capital, 3One4 Capital",2025,August,8,2025-08-01
kiwi,Fintech,Bangalore,199.2,Series B,Vertex Ventures,2025,August,8,2025-08-01
beyond appliances,Ecommerce,Bangalore,33.2,Series A,Fireside Ventures,2025,August,8,2025-08-01
house of biryani,Consumer,Mumbai,29.88,Unknown,Unknown,2025,August,8,2025-08-01
mitra,Ecommerce,Gurgaon,13.28,Unknown,Bestvantage Investments,2025,August,8,2025-08-01
peelon,Enterprise,Vishakhapatnam,8.3,Seed,Growx Ventures,2025,August,8,2025-08-01
hexafun,Ecommerce,Delhi,4.25,Seed,Prajay Advisors,2025,August,8,2025-08-01
famyo,Ecommerce,Bangalore,3.79,Seed,I'N Angel Fund,2025,August,8,2025-08-01
zenzebra,Consumer,Delhi,3.7931,Seed,Rukam Capital,2025,August,8,2025-08-01
truemeds,Healthcare,Mumbai,539.5,Series C,Unknown,2025,August,8,2025-08-01
zepto,Consumer,Bangalore,379.31,Unknown,Motilal Oswal Fiunknownncial Services Ltd,2025,August,8,2025-08-01
darwinbox,Enterprise,Hyderabad,332.0,Unknown,Ontario Teachers’ Pension Plan,2025,August,8,2025-08-01
ultraviolette,Cleantech,Bangalore,174.3,Unknown,Tdk Ventures,2025,August,8,2025-08-01
arintra,Enterprise,Us,174.3,Series A,Peak Xv Partners,2025,August,8,2025-08-01
dashverse,Media & Entertainment,Bangalore,107.9,Series A,Peak Xv Partners,2025,August,8,2025-08-01
lifelong online,Ecommerce,Delhi,107.9,Unknown,Unknown,2025,August,8,2025-08-01
pronto,Consumer,Gurgaon,91.3,Series A,"General Catalyst, Glade Brook Capital",2025,August,8,2025-08-01
elivaas,Travel,Gurgaon,83.0,Series B,Vertex Ventures,2025,August,8,2025-08-01
graasai,AI,Singapore,74.7,Series B,Tin Men Capital,2025,August,8,2025-08-01
refold ai,AI,Bangalore,53.95,Seed,"Eniac Ventures, Tidal Ventures",2025,August,8,2025-08-01
olee space,Advanced Hardware & Iot,Pune,24.9,Seed,Unknown,2025,August,8,2025-08-01
holiday tribe,Travel,Gurgaon,24.9,Pre-Series A,Powerhouse Ventures,2025,August,8,2025-08-01
fairdealmarket,Ecommerce,Gurgaon,24.9,Pre-Series A,Incubate Fund Asia,2025,August,8,2025-08-01
manastu space,Advanced Hardware & Iot,Mumbai,24.9,Series A,Capitalunknowna,2025,August,8,2025-08-01
comminent,Advanced Hardware & Iot,Bangalore,16.6,Unknown,Transition Vc,2025,August,8,2025-08-01
spike ai,AI,Bangalore,15.77,Pre-Seed,Sorin Investments,2025,August,8,2025-08-01
trackk,Fintech,Delhi,8.3,Seed,Unknown,2025,August,8,2025-08-01
the sleep,Ecommerce,Mumbai,453.18,Series D,Unknown,2025,August,8,2025-08-01
renee cosmetics,Ecommerce,Ahmedabad,249.0,Series C,Playbook Partners,2025,August,8,2025-08-01
fibe,Fintech,Pune,207.5,Debt,Franklin Templeton Alterunknowntive Investments Fund,2025,August,8,2025-08-01
supergaming,Media & Entertainment,Pune,124.5,Series A,"Skycatcher, Steadview Capital",2025,August,8,2025-08-01
jeh aerospace,Advanced Hardware & Technology,Hyderabad,91.3,Series A,Elevation Capital,2025,August,8,2025-08-01
zype,Fintech,Mumbai,85.49,Unknown,Unleash Capital Partners,2025,August,8,2025-08-01
dpdpzero,Fintech,Bangalore,58.1,Series A,Gmo Venture Partners,2025,August,8,2025-08-01
turbohire,AI,Hyderabad,49.8,Series A,Ivycap Ventures,2025,August,8,2025-08-01
mitigata,Fintech,Delhi,48.97,Series A,Nexus Venture Partners,2025,August,8,2025-08-01
tplusa,Ecommerce,Bangalore,48.14,Seed,Livspace,2025,August,8,2025-08-01
cautio,Advanced Hardware & Technology,Bangalore,24.9,Seed,Unknown,2025,August,8,2025-08-01
outzidr,Ecommerce,Bangalore,24.9,Pre-Series A,Rtp Global,2025,August,8,2025-08-01
hylenr,Clean,Hyderabad,24.9,Pre-Series A,"Valour Capital, Chhattisgarh Investments",2025,August,8,2025-08-01
zepto,Consumer,Bangalore,24.07,Unknown,Mapmyindia,2025,August,8,2025-08-01
codekarma,AI,Bangalore,20.75,Pre-Seed,"Prosus, Accel, Xeed Ventures",2025,August,8,2025-08-01
xovian aerospace,Advanced Hardware & Technology,Bangalore,20.75,Pre-Seed,"Piper Serica, Turbostart",2025,August,8,2025-08-01
nuuk,Ecommerce,Gurgaon,16.6,Series A,Unknown,2025,August,8,2025-08-01
designx,Enterprise,Noida,16.6,Unknown,Unknown,2025,August,8,2025-08-01
eon space labs,Advanced Hardware & Technology,Hyderabad,9.96,Pre-Series A,Mgf Kavachh,2025,August,8,2025-08-01
mangopoint,Ecommerce,Chennai,8.3,Pre-Series A,Inflection Point Ventures,2025,August,8,2025-08-01
fraganote,Ecommerce,Delhi,8.3,Pre-Series A,Rukam Capital,2025,August,8,2025-08-01
shotgun games,Media & Entertainment,Mumbai,8.3,Seed,Unknown,2025,August,8,2025-08-01
gladful,Ecommerce,Jaipur,7.58,Unknown,Eterunknownl Capital,2025,August,8,2025-08-01
terafac,Advanced Hardware & Technology,Chandigarh,6.64,Pre-Seed,Inuka Capital,2025,August,8,2025-08-01
prozo,Logistics,Gurgaon,6.64,Unknown,Ranbir Kapoor,2025,August,8,2025-08-01
safe security,Enterprise,Delhi,581.0,Series C,Avataar Venture Partners,2025,July,7,2025-07-01
metaforms,AI,Bangalore,74.7,Series A,Peak Xv Partners,2025,July,7,2025-07-01
stan,Media & Entertainment,Chennai,70.55,Series A,Unknown,2025,July,7,2025-07-01
arivihan,Edtech,Indore,34.86,Pre-Series A,"Prosus, Accel",2025,July,7,2025-07-01
sharpsellai,Enterprise,Mumbai,28.22,Series A,Equentis Angel Fund,2025,July,7,2025-07-01
drizz,AI,Bangalore,22.41,Seed,Stellaris Venture Partners,2025,July,7,2025-07-01
littlebox,Ecommerce,Noida,17.43,Seed,"Huddle Ventures, Prath Ventures",2025,July,7,2025-07-01
snooplay,Ecommerce,Delhi,7.6,Pre-Series A,Pravek Family Office,2025,July,7,2025-07-01
zepto,Consumer,Bangalore,7.11,Unknown,Elcid Investments,2025,July,7,2025-07-01
heizen,Enterprise,Delhi,4.15,Pre-Seed,Titan Capital,2025,July,7,2025-07-01
passport trips,Travel,Mumbai,4.15,Pre-Seed,Aroa Venture Partners,2025,July,7,2025-07-01
iline,Logistics,Noida,4.15,Unknown,Unknown,2025,July,7,2025-07-01
genexis biotech,Healthcare,Vadodara,3.79,Seed,Gvfl,2025,July,7,2025-07-01
vahanai,AI,Bangalore,3.7931,Unknown,Temasek,2025,July,7,2025-07-01
gupshup,Enterprise,Mumbai,498.0,Unknown,Unknown,2025,July,7,2025-07-01
netrasemi,Advanced Hardware & Technology,Thiruvananthapuram,102.92,Series A,Zoho Corporation,2025,July,7,2025-07-01
superk,Consumer,Bangalore,95.45,Series B,3State Ventures,2025,July,7,2025-07-01
kluiszai,AI,Bangalore,79.68,Seed,Rtp Global,2025,July,7,2025-07-01
edufund,Fintech,Ahmedabad,49.8,Series A,Cercano Maunknowngement,2025,July,7,2025-07-01
eveez,Travel,Gurgaon,44.82,Series A,"Michael, Susan Dell Foundation",2025,July,7,2025-07-01
enlite research,Enterprise,Mumbai,43.99,Series A,Avaaunknown Capital,2025,July,7,2025-07-01
ituringai,AI,Bangalore,41.5,Series A,"Dallas Venture Capital, Mela Ventures",2025,July,7,2025-07-01
sugar cosmetics,Ecommerce,Mumbai,41.5,Unknown,Anicut Capital,2025,July,7,2025-07-01
escape plan,Ecommerce,Bangalore,41.5,Seed,"Jungle Ventures, Fireside Ventures",2025,July,7,2025-07-01
hudle,Enterprise,Delhi,20.75,Series A,Sky Impact Capital,2025,July,7,2025-07-01
grexa ai,AI,Thane,14.94,Seed,Utsav Somani,2025,July,7,2025-07-01
anny,Ecommerce,Gurgaon,9.96,Pre-Series A,Atomic Capital,2025,July,7,2025-07-01
ammunic systems,Advanced Hardware & Technology,Bangalore,9.13,Seed,"India Accelerator, Finvolve",2025,July,7,2025-07-01
inbound aerospace,Advanced Hardware & Technology,Chennai,8.3,Pre-Seed,Speciale Invest,2025,July,7,2025-07-01
plenome,Enterprise,Chennai,6.24,Seed,Ovington Capital Partners,2025,July,7,2025-07-01
bharatsure,Fintech,Mumbai,5.76,Unknown,Inflection Point Ventures,2025,July,7,2025-07-01
apclub,Consumer,Bangalore,1.92,Pre-Seed,Curefit,2025,July,7,2025-07-01
coluxe,Ecommerce,Delhi,1.9173,Unknown,Unknown,2025,July,7,2025-07-01
qpiai,Advanced Hardware & Technology,Bangalore,265.6,Series A,"Avataar Ventures, Natiounknownl Quantum Mission",2025,July,7,2025-07-01
truemeds,Healthcare,Mumbai,166.0,Series C,Peak Xv Partners,2025,July,7,2025-07-01
phi commerce,Fintech,Pune,48.97,Series B,Beenext,2025,July,7,2025-07-01
knot,Consumer,Bangalore,24.9,Pre-Series A,Kae Capital,2025,July,7,2025-07-01
trupeerai,AI,Bangalore,24.9,Seed,Rtp Global,2025,July,7,2025-07-01
omspace rocket exploration,Advanced Hardware & Technology,Ahmedabad,24.9,Pre-Seed,Unknown,2025,July,7,2025-07-01
vaaree,Ecommerce,Bangalore,17.43,Pre-Series A,"Peercapital, Peak Xv Surge",2025,July,7,2025-07-01
cure fit,Healthcare,Bangalore,16.6,Unknown,First Luxembourg Sca,2025,July,7,2025-07-01
dcg tech,Ecommerce,Gurgaon,14.11,Pre-Series A,Gvfl,2025,July,7,2025-07-01
zuppa,Advanced Hardware & Technology,Chennai,12.45,Unknown,Rahul Dewan,2025,July,7,2025-07-01
deep algorithm,Enterprise,Hyderabad,10.79,Unknown,Unicorn India Ventures,2025,July,7,2025-07-01
dial4242,Healthcare,Gurgaon,9.13,Pre-Series A,Ian Group,2025,July,7,2025-07-01
the wedding,Consumer,Bangalore,8.3,Pre-Seed,Lvx,2025,July,7,2025-07-01
navanaai,AI,Mumbai,6.74,Pre-Series A,Antler India,2025,July,7,2025-07-01
unibose,Advanced Hardware & Technology,Chennai,5.3,Pre-Series A,O2 Angels,2025,July,7,2025-07-01
zulu club,Consumer,Gurgaon,2.08,Pre-Seed,Tdv Partners,2025,July,7,2025-07-01
parkobot,Advanced Hardware & Technology,Kolkata,2.02,Seed,Inflection Point Ventures,2025,July,7,2025-07-01
enercomp,Advanced Hardware & Technology,Ahmedabad,1.93,Unknown,Unknown,2025,July,7,2025-07-01
cosmoss,Ecommerce,Gurgaon,1.9256,Seed,Malika Sadani,2025,July,7,2025-07-01
infinity fincorp,Fintech,Mumbai,581.0,Unknown,Partners Group,2025,July,7,2025-07-01
varthana,Fintech,Bangalore,154.38,Debt,Unknown,2025,July,7,2025-07-01
khetika,Ecommerce,Bangalore,149.4,Series B,"Narotam Sekhsaria Family Office, Anicut Capital",2025,July,7,2025-07-01
inprime finserv,Fintech,Bangalore,49.8,Series A,Pravega Ventures,2025,July,7,2025-07-01
chai bisket,Media & Entertainment,Hyderabad,41.5,Seed,"Infoedge Ventures, General Catalyst",2025,July,7,2025-07-01
belong,Fintech,Bangalore,41.5,Seed,Elevation Capital,2025,July,7,2025-07-01
clean fanatics,Consumer,Bangalore,16.6,Seed,Inflection Point Ventures,2025,July,7,2025-07-01
cookd,Ecommerce,Chennai,16.6,Pre-Series A,Spring Marketing Capital,2025,July,7,2025-07-01
gramik,Agritech,Lucknow,16.6,Unknown,Unknown,2025,July,7,2025-07-01
green aero,Advanced Hardware & Technology,Delhi,13.28,Seed,Pi Ventures,2025,July,7,2025-07-01
amama,Ecommerce,Delhi,8.3,Unknown,Mistry Ventures,2025,July,7,2025-07-01
wiselife,Ecommerce,Gurgaon,7.74,Seed,Rukam Capital,2025,July,7,2025-07-01
linkrunner,AI,Bangalore,4.65,Unknown,Titan Capital,2025,July,7,2025-07-01
divine hindu,Ecommerce,Gurgaon,1.5,Seed,Unknown,2025,July,7,2025-07-01
jeh aerospace,Advanced Hardware & Technology,Hyderabad,1.5023,Unknown,Indigo Ventures,2025,July,7,2025-07-01
jumbotail,Ecommerce,Bangalore,996.0,Series D,"Sc Ventures, Artal Asia",2025,July,7,2025-07-01
inframarket,Real Estate,Thane,415.0,Debt,Mars Growth Capital,2025,July,7,2025-07-01
incred finance,Fintech,Mumbai,388.44,Debt,"Morgan Stanley, Nippon Life India",2025,July,7,2025-07-01
eggoz,Ecommerce,Gurgaon,166.0,Series C,"Gaja Capital, Ivycap Ventures, Rebright Partners, Avaaunknown Capital, Nabventures, Merisis Opportunities Fund, Arvind Thakur, S Ramadorai, Artek Chemicals, Blue Dot Capital",2025,July,7,2025-07-01
appsforbharat,Consumer,Bangalore,166.0,Series C,"Susquehanunknown Asia Vc, Fundamentum, Elevation Capital, Peak Xv Partners",2025,July,7,2025-07-01
aukera,Ecommerce,Bangalore,124.5,Series B,"Peak Xv Partners, Fireside Ventures, Sparrow Capital, Prath Ventures, Alteria Capital",2025,July,7,2025-07-01
bambrew,Enterprise,Bangalore,87.15,Series B,"Ashok Goel, Enrission India Capital",2025,July,7,2025-07-01
eeki,Agritech,Kota,58.1,Series A,Sixth Sense Ventures,2025,July,7,2025-07-01
zango ai,AI,Indore,39.84,Seed,"Nexus Venture Partners, South Park Commons, Notion Capital, No Label Ventures, Start Ventures",2025,July,7,2025-07-01
maieutic semiconductor,Advanced Hardware & Technology,Bangalore,34.86,Seed,"Endiya Partners, Exfinity Venture Partners",2025,July,7,2025-07-01
